type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-08 20:36:03,40.71427948,-73.99040958,5,-17.703,,0.000,,22,28,20211008-163603,GPS Logger: 20211008-163603
T,2021-10-08 20:36:04,40.71427860,-73.99040590,5,-17.042,,0.000,,23,28,,
T,2021-10-08 20:36:05,40.71428173,-73.99040258,5,-16.156,,0.000,,23,28,,
T,2021-10-08 20:36:06,40.71427911,-73.99040289,4,-16.388,,0.000,,23,28,,
T,2021-10-08 20:36:07,40.71427509,-73.99040383,4,-16.576,,0.000,,22,28,,
T,2021-10-08 20:36:08,40.71427286,-73.99040600,4,-16.739,,0.000,,22,28,,
T,2021-10-08 20:36:09,40.71427451,-73.99040396,4,-16.376,,0.000,,23,28,,
T,2021-10-08 20:36:10,40.71427570,-73.99040376,4,-16.263,,0.000,,23,28,,
T,2021-10-08 20:36:11,40.71427632,-73.99040407,4,-16.159,,0.000,,23,28,,
T,2021-10-08 20:36:12,40.71428210,-73.99039869,4,-15.372,,0.290,289,22,28,,
T,2021-10-08 20:36:13,40.71428511,-73.99039764,4,-15.599,,0.000,,22,28,,
T,2021-10-08 20:36:14,40.71428882,-73.99039560,4,-14.954,,0.000,,23,28,,
T,2021-10-08 20:36:15,40.71429209,-73.99039384,5,-14.549,,0.000,,23,28,,
T,2021-10-08 20:36:16,40.71429400,-73.99039380,5,-14.972,,0.000,,23,28,,
T,2021-10-08 20:36:17,40.71429659,-73.99039283,5,-14.707,,0.000,,23,28,,
T,2021-10-08 20:36:18,40.71429858,-73.99039157,5,-14.682,,0.000,,23,28,,
T,2021-10-08 20:36:19,40.71430005,-73.99039189,5,-15.277,,0.000,,23,28,,
T,2021-10-08 20:36:20,40.71430218,-73.99039208,5,-14.734,,0.000,,23,28,,
T,2021-10-08 20:36:21,40.71430260,-73.99039437,5,-14.382,,0.000,,23,28,,
T,2021-10-08 20:36:22,40.71430508,-73.99039503,5,-14.432,,0.000,,24,28,,
T,2021-10-08 20:36:23,40.71430785,-73.99039336,5,-14.695,,0.000,,24,28,,
T,2021-10-08 20:36:24,40.71430997,-73.99039240,5,-14.844,,0.000,,24,28,,
T,2021-10-08 20:36:25,40.71431124,-73.99039155,5,-14.851,,0.000,,23,28,,
T,2021-10-08 20:36:26,40.71431184,-73.99039129,5,-14.911,,0.000,,23,28,,
T,2021-10-08 20:36:27,40.71431205,-73.99039109,5,-14.900,,0.000,,23,28,,
T,2021-10-08 20:36:28,40.71431214,-73.99039104,5,-14.894,,0.000,,22,28,,
T,2021-10-08 20:36:29,40.71431232,-73.99039095,5,-14.897,,0.000,,22,28,,
T,2021-10-08 20:36:30,40.71431260,-73.99039082,5,-14.895,,0.000,,24,28,,
T,2021-10-08 20:36:31,40.71431285,-73.99039072,5,-14.887,,0.000,,24,28,,
T,2021-10-08 20:36:32,40.71431293,-73.99039070,4,-14.887,,0.000,,24,28,,
T,2021-10-08 20:36:33,40.71431304,-73.99039065,4,-14.886,,0.000,,24,28,,
T,2021-10-08 20:36:34,40.71431268,-73.99039371,4,-15.588,,0.360,182,24,28,,
