type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-22 20:23:21,40.74862127,-73.98797807,11,68.461,,0.000,,17,24,20211022-162321,GPS Logger: 20211022-162321 - 34th to 42nd st_ 5th to 8th ave
T,2021-10-22 20:23:22,40.74862010,-73.98799671,11,60.457,,0.000,,17,24,,
T,2021-10-22 20:23:23,40.74862143,-73.98798486,11,58.899,,0.000,,18,24,,
T,2021-10-22 20:23:24,40.74861726,-73.98800292,11,62.923,,0.000,,19,24,,
T,2021-10-22 20:23:25,40.74861786,-73.98800697,11,64.123,,0.000,,19,24,,
T,2021-10-22 20:23:26,40.74862132,-73.98800369,11,64.180,,0.000,,19,24,,
T,2021-10-22 20:23:27,40.74862292,-73.98800383,11,63.727,,0.000,,20,24,,
T,2021-10-22 20:23:28,40.74862556,-73.98799877,11,61.972,,0.000,,20,24,,
T,2021-10-22 20:23:29,40.74862666,-73.98799434,11,61.364,,0.000,,20,24,,
T,2021-10-22 20:23:30,40.74862681,-73.98799141,11,60.968,,0.000,,19,24,,
T,2021-10-22 20:23:31,40.74862700,-73.98799258,11,61.809,,0.000,,19,24,,
T,2021-10-22 20:23:32,40.74863724,-73.98798948,11,61.279,,0.280,10,21,24,,
T,2021-10-22 20:23:33,40.74864327,-73.98797807,11,58.955,,0.230,17,20,24,,
T,2021-10-22 20:23:34,40.74865437,-73.98798115,11,58.618,,0.560,352,20,24,,
T,2021-10-22 20:23:35,40.74866542,-73.98797946,11,57.710,,0.840,25,19,24,,
T,2021-10-22 20:23:36,40.74866946,-73.98798142,11,57.541,,0.000,,19,24,,
T,2021-10-22 20:23:37,40.74867058,-73.98798504,12,57.128,,0.000,,19,24,,
T,2021-10-22 20:23:38,40.74867396,-73.98798271,13,57.197,,0.680,32,19,24,,
T,2021-10-22 20:23:39,40.74867988,-73.98798315,13,56.684,,0.560,357,18,24,,
T,2021-10-22 20:23:40,40.74868991,-73.98798229,12,55.631,,1.430,24,15,24,,
T,2021-10-22 20:23:41,40.74870310,-73.98797700,12,54.226,,1.520,27,15,24,,
T,2021-10-22 20:23:42,40.74871386,-73.98797284,13,52.883,,0.830,38,14,24,,
T,2021-10-22 20:23:43,40.74871878,-73.98796242,13,52.681,,1.590,64,14,24,,
T,2021-10-22 20:23:44,40.74872633,-73.98795151,13,50.991,,1.050,73,16,24,,
T,2021-10-22 20:23:45,40.74873106,-73.98794871,13,50.253,,0.390,73,16,24,,
T,2021-10-22 20:23:46,40.74873479,-73.98794640,14,51.963,,0.440,44,16,24,,
T,2021-10-22 20:23:47,40.74873982,-73.98794318,14,48.629,,0.190,23,16,24,,
T,2021-10-22 20:23:48,40.74875329,-73.98793278,15,42.559,,1.640,16,18,24,,
T,2021-10-22 20:23:49,40.74876496,-73.98792136,15,41.881,,0.270,17,18,24,,
T,2021-10-22 20:23:50,40.74878119,-73.98789718,16,38.674,,0.000,,18,24,,
T,2021-10-22 20:23:51,40.74878937,-73.98787771,15,36.908,,0.000,,19,24,,
T,2021-10-22 20:23:52,40.74879497,-73.98786526,14,35.136,,0.000,,21,24,,
T,2021-10-22 20:23:53,40.74880435,-73.98786054,13,32.247,,0.000,,21,24,,
T,2021-10-22 20:23:54,40.74881141,-73.98785941,13,32.479,,0.000,,21,24,,
T,2021-10-22 20:23:55,40.74882141,-73.98785217,13,33.330,,0.460,21,21,24,,
T,2021-10-22 20:23:56,40.74883785,-73.98784925,13,35.425,,1.550,349,20,24,,
T,2021-10-22 20:23:57,40.74885173,-73.98785302,13,34.918,,0.360,340,19,24,,
T,2021-10-22 20:23:58,40.74886010,-73.98786303,12,35.130,,0.000,,17,24,,
T,2021-10-22 20:23:59,40.74886715,-73.98787294,12,35.053,,0.000,,18,24,,
T,2021-10-22 20:24:00,40.74888316,-73.98790623,11,34.897,,0.000,,18,24,,
T,2021-10-22 20:24:01,40.74889558,-73.98793020,10,34.109,,0.000,,18,24,,
T,2021-10-22 20:24:02,40.74890644,-73.98795472,9,32.923,,0.000,,18,24,,
T,2021-10-22 20:24:03,40.74891879,-73.98796796,9,30.598,,0.000,,17,24,,
T,2021-10-22 20:24:04,40.74893095,-73.98797888,9,28.943,,0.000,,17,24,,
T,2021-10-22 20:24:05,40.74894081,-73.98799022,8,28.292,,0.000,,17,24,,
T,2021-10-22 20:24:06,40.74894798,-73.98799686,8,28.815,,0.000,,16,24,,
T,2021-10-22 20:24:07,40.74895338,-73.98800234,8,29.070,,0.000,,16,24,,
T,2021-10-22 20:24:08,40.74895894,-73.98800385,8,28.091,,0.000,,15,24,,
T,2021-10-22 20:24:09,40.74896244,-73.98800769,8,26.974,,0.000,,16,24,,
T,2021-10-22 20:24:10,40.74896458,-73.98801002,8,26.945,,0.000,,16,24,,
T,2021-10-22 20:24:11,40.74896670,-73.98801253,8,26.918,,0.000,,16,24,,
T,2021-10-22 20:24:12,40.74896785,-73.98801359,8,26.971,,0.000,,17,24,,
T,2021-10-22 20:24:13,40.74896847,-73.98801405,8,27.253,,0.000,,18,24,,
T,2021-10-22 20:24:14,40.74896887,-73.98801438,9,27.405,,0.000,,18,24,,
T,2021-10-22 20:24:15,40.74896913,-73.98801456,9,27.518,,0.000,,18,24,,
T,2021-10-22 20:24:16,40.74896931,-73.98801474,8,27.595,,0.000,,18,24,,
T,2021-10-22 20:24:17,40.74896941,-73.98801478,8,27.705,,0.000,,18,24,,
T,2021-10-22 20:24:18,40.74896954,-73.98801473,8,27.796,,0.000,,17,24,,
T,2021-10-22 20:24:19,40.74896975,-73.98801479,7,27.804,,0.000,,17,24,,
T,2021-10-22 20:24:20,40.74897001,-73.98801494,7,27.813,,0.000,,17,24,,
T,2021-10-22 20:24:21,40.74897009,-73.98801475,6,27.887,,0.000,,17,24,,
T,2021-10-22 20:24:22,40.74897021,-73.98801473,6,27.899,,0.000,,16,24,,
T,2021-10-22 20:24:23,40.74897041,-73.98801483,6,27.911,,0.000,,16,24,,
T,2021-10-22 20:24:24,40.74897055,-73.98801508,7,27.935,,0.000,,15,24,,
T,2021-10-22 20:24:25,40.74897095,-73.98801560,7,27.794,,0.000,,16,24,,
T,2021-10-22 20:24:26,40.74897131,-73.98801632,7,27.753,,0.000,,15,24,,
T,2021-10-22 20:24:27,40.74897192,-73.98801726,8,27.551,,0.000,,15,24,,
T,2021-10-22 20:24:28,40.74897706,-73.98801793,8,27.303,,0.420,18,16,24,,
T,2021-10-22 20:24:29,40.74898218,-73.98802244,8,27.511,,0.000,,16,24,,
T,2021-10-22 20:24:30,40.74899267,-73.98803111,8,20.638,,0.700,40,15,24,,
T,2021-10-22 20:24:31,40.74900314,-73.98803307,8,20.365,,0.790,39,15,24,,
T,2021-10-22 20:24:32,40.74901150,-73.98803381,9,20.288,,0.500,43,15,24,,
T,2021-10-22 20:24:33,40.74902300,-73.98803690,9,15.127,,0.770,33,15,24,,
T,2021-10-22 20:24:34,40.74903154,-73.98803161,9,15.156,,1.520,80,16,24,,
T,2021-10-22 20:24:35,40.74903649,-73.98802342,9,15.405,,0.960,93,16,24,,
T,2021-10-22 20:24:36,40.74903904,-73.98801921,9,16.048,,0.830,107,16,24,,
T,2021-10-22 20:24:37,40.74904130,-73.98801524,9,17.055,,0.840,101,15,24,,
T,2021-10-22 20:24:38,40.74904561,-73.98801482,10,17.832,,0.310,97,15,24,,
T,2021-10-22 20:24:39,40.74905326,-73.98801249,11,18.359,,0.760,74,16,24,,
T,2021-10-22 20:24:40,40.74906915,-73.98801511,8,15.033,,1.220,354,16,24,,
T,2021-10-22 20:24:41,40.74908870,-73.98801987,9,13.586,,1.250,349,16,24,,
T,2021-10-22 20:24:42,40.74910548,-73.98802391,8,12.438,,0.690,339,16,24,,
T,2021-10-22 20:24:43,40.74912021,-73.98802550,8,11.517,,0.880,357,16,24,,
T,2021-10-22 20:24:44,40.74913817,-73.98802753,7,11.794,,1.390,347,16,24,,
T,2021-10-22 20:24:45,40.74915374,-73.98803413,7,10.156,,0.790,343,16,24,,
T,2021-10-22 20:24:46,40.74916980,-73.98803666,6,9.210,,1.400,353,17,24,,
T,2021-10-22 20:24:47,40.74918901,-73.98804190,6,8.805,,1.350,346,16,24,,
T,2021-10-22 20:24:48,40.74920616,-73.98804196,6,8.456,,1.280,346,16,24,,
T,2021-10-22 20:24:49,40.74922150,-73.98804279,7,7.301,,1.010,346,15,24,,
T,2021-10-22 20:24:50,40.74923504,-73.98804782,7,5.626,,0.960,346,16,24,,
T,2021-10-22 20:24:51,40.74924766,-73.98806035,8,2.579,,1.130,346,15,24,,
T,2021-10-22 20:24:52,40.74925902,-73.98807428,8,2.705,,0.850,346,15,24,,
T,2021-10-22 20:24:53,40.74926961,-73.98808407,8,2.511,,0.770,346,13,24,,
T,2021-10-22 20:24:54,40.74928097,-73.98809121,8,2.051,,0.780,346,14,24,,
