type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-16 00:10:17,40.75355220,-73.98103465,10,54.247,,0.000,,16,26,20211015-201017,GPS Logger: 20211015-201017
T,2021-10-16 00:10:18,40.75355290,-73.98103537,10,54.314,,0.000,,16,26,,
T,2021-10-16 00:10:19,40.75355306,-73.98103505,10,54.235,,0.000,,16,26,,
T,2021-10-16 00:10:20,40.75355319,-73.98103483,11,54.148,,0.000,,16,26,,
T,2021-10-16 00:10:21,40.75355324,-73.98103452,11,54.039,,0.000,,16,26,,
T,2021-10-16 00:10:22,40.75355310,-73.98103392,11,53.912,,0.000,,16,26,,
T,2021-10-16 00:10:23,40.75355300,-73.98103361,11,53.868,,0.000,,17,26,,
T,2021-10-16 00:10:24,40.75355180,-73.98103510,11,54.029,,0.300,200,16,26,,
T,2021-10-16 00:10:25,40.75355564,-73.98101744,11,51.565,,1.060,86,17,26,,
T,2021-10-16 00:10:26,40.75355533,-73.98100620,12,51.771,,0.780,66,17,26,,
T,2021-10-16 00:10:27,40.75357366,-73.98099129,11,49.752,,0.770,37,17,26,,
T,2021-10-16 00:10:28,40.75357214,-73.98098814,10,46.723,,0.410,200,16,26,,
T,2021-10-16 00:10:29,40.75357041,-73.98099491,9,46.109,,0.600,198,17,26,,
T,2021-10-16 00:10:30,40.75356912,-73.98100721,9,45.584,,0.850,235,18,26,,
T,2021-10-16 00:10:31,40.75357178,-73.98102428,8,44.859,,1.090,264,18,26,,
T,2021-10-16 00:10:32,40.75357975,-73.98104022,7,45.735,,1.040,300,18,26,,
T,2021-10-16 00:10:33,40.75359238,-73.98105576,7,46.768,,1.200,307,18,26,,
T,2021-10-16 00:10:34,40.75360150,-73.98107227,6,45.002,,1.190,293,18,26,,
T,2021-10-16 00:10:35,40.75361119,-73.98109114,5,45.314,,1.220,300,17,26,,
T,2021-10-16 00:10:36,40.75361954,-73.98110374,5,43.862,,1.160,303,17,26,,
T,2021-10-16 00:10:37,40.75362877,-73.98111480,5,41.656,,1.160,306,14,26,,
T,2021-10-16 00:10:38,40.75362837,-73.98112656,5,38.526,,1.490,262,13,26,,
T,2021-10-16 00:10:39,40.75362983,-73.98113389,5,35.964,,1.150,277,13,26,,
T,2021-10-16 00:10:40,40.75363994,-73.98114354,5,34.542,,1.140,303,13,26,,
T,2021-10-16 00:10:41,40.75364780,-73.98115213,5,33.654,,1.050,304,13,26,,
T,2021-10-16 00:10:42,40.75365287,-73.98116502,4,32.337,,1.170,283,13,26,,
T,2021-10-16 00:10:43,40.75365620,-73.98117630,4,33.086,,1.010,277,13,26,,
T,2021-10-16 00:10:44,40.75366208,-73.98118871,4,33.149,,1.110,293,13,26,,
T,2021-10-16 00:10:45,40.75365984,-73.98120294,4,32.567,,1.370,250,13,26,,
T,2021-10-16 00:10:46,40.75365268,-73.98121180,4,32.770,,1.270,212,13,26,,
T,2021-10-16 00:10:47,40.75364146,-73.98120850,4,33.054,,1.450,166,14,26,,
T,2021-10-16 00:10:48,40.75363269,-73.98119988,5,32.648,,1.010,155,15,26,,
T,2021-10-16 00:10:49,40.75362611,-73.98118885,5,32.017,,1.020,145,16,26,,
T,2021-10-16 00:10:50,40.75362738,-73.98116652,6,29.982,,1.610,91,17,26,,
T,2021-10-16 00:10:51,40.75365823,-73.98115790,6,30.505,,2.940,359,18,26,,
T,2021-10-16 00:10:52,40.75366913,-73.98116782,5,29.486,,1.710,291,18,26,,
T,2021-10-16 00:10:53,40.75366992,-73.98118153,5,28.002,,1.460,273,17,26,,
T,2021-10-16 00:10:54,40.75367065,-73.98119239,5,27.176,,1.260,271,17,26,,
T,2021-10-16 00:10:55,40.75367634,-73.98120373,4,26.807,,1.370,297,16,26,,
T,2021-10-16 00:10:56,40.75368474,-73.98121008,4,25.996,,1.320,321,15,26,,
T,2021-10-16 00:10:57,40.75369436,-73.98121796,10,26.632,,1.280,330,14,26,,
T,2021-10-16 00:10:58,40.75370173,-73.98122834,10,27.222,,1.260,310,14,26,,
T,2021-10-16 00:10:59,40.75370905,-73.98123565,10,26.771,,1.180,315,13,26,,
T,2021-10-16 00:11:00,40.75371711,-73.98124257,10,26.290,,1.200,321,15,26,,
T,2021-10-16 00:11:01,40.75372547,-73.98125188,10,25.593,,1.180,315,15,26,,
T,2021-10-16 00:11:02,40.75373138,-73.98125524,10,23.336,,1.010,316,15,26,,
T,2021-10-16 00:11:03,40.75373698,-73.98127104,10,24.787,,1.260,294,15,26,,
T,2021-10-16 00:11:04,40.75373960,-73.98128508,10,23.524,,1.110,286,15,26,,
T,2021-10-16 00:11:05,40.75374099,-73.98129830,10,22.484,,1.110,276,15,26,,
