type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-21 22:51:14,40.69246468,-73.98612503,14,48.805,,0.000,,,25,20211021-185114,GPS Logger: 20211021-185114 - Brooklyn heights_ cobble hill_ downtown brooklyn
T,2021-10-21 22:51:15,40.69245772,-73.98612790,14,47.658,,0.000,,19,25,,
T,2021-10-21 22:51:16,40.69245124,-73.98612819,13,48.220,,0.000,,19,25,,
T,2021-10-21 22:51:18,40.69244265,-73.98614131,10,46.985,,0.000,,,25,,
T,2021-10-21 22:51:19,40.69243882,-73.98614389,10,46.610,,0.000,,19,25,,
T,2021-10-21 22:51:20,40.69243577,-73.98614757,9,45.713,,0.000,,18,25,,
T,2021-10-21 22:51:21,40.69243275,-73.98614928,10,45.371,,0.000,,17,25,,
T,2021-10-21 22:51:23,40.69242604,-73.98614673,9,45.297,,0.000,,,25,,
T,2021-10-21 22:51:24,40.69242433,-73.98614773,9,45.581,,0.000,,18,25,,
T,2021-10-21 22:51:25,40.69242374,-73.98614867,9,45.593,,0.000,,18,25,,
T,2021-10-21 22:51:26,40.69242409,-73.98615107,9,45.334,,0.240,286,18,25,,
T,2021-10-21 22:51:28,40.69241558,-73.98615895,9,46.311,,0.810,176,,25,,
T,2021-10-21 22:51:29,40.69240949,-73.98616137,10,46.650,,0.650,168,19,25,,
T,2021-10-21 22:51:30,40.69240336,-73.98616385,11,46.907,,0.690,166,19,25,,
T,2021-10-21 22:51:31,40.69239125,-73.98616086,11,46.834,,1.920,154,19,25,,
T,2021-10-21 22:51:33,40.69237700,-73.98616772,11,50.227,,0.580,163,,25,,
T,2021-10-21 22:51:34,40.69236419,-73.98616877,11,49.115,,1.940,164,19,25,,
T,2021-10-21 22:51:35,40.69235261,-73.98616807,12,49.883,,0.930,156,19,25,,
T,2021-10-21 22:51:36,40.69234532,-73.98616499,10,49.159,,0.990,144,19,25,,
T,2021-10-21 22:51:38,40.69232630,-73.98616942,9,50.385,,0.640,169,,25,,
T,2021-10-21 22:51:39,40.69232131,-73.98617874,10,49.734,,0.850,192,19,25,,
T,2021-10-21 22:51:40,40.69231386,-73.98618958,10,49.584,,1.160,196,19,25,,
T,2021-10-21 22:51:41,40.69230704,-73.98620087,10,49.800,,0.620,197,19,25,,
T,2021-10-21 22:51:42,40.69230263,-73.98620982,10,49.366,,0.530,189,19,25,,
T,2021-10-21 22:51:43,40.69229631,-73.98622132,10,48.834,,0.990,205,19,25,,
T,2021-10-21 22:51:44,40.69228912,-73.98623650,10,48.581,,0.900,212,19,25,,
T,2021-10-21 22:51:45,40.69228232,-73.98625162,10,49.574,,1.040,216,19,25,,
T,2021-10-21 22:51:46,40.69227754,-73.98626856,10,50.093,,1.080,230,19,25,,
T,2021-10-21 22:51:47,40.69226943,-73.98628305,10,50.802,,1.430,216,19,25,,
T,2021-10-21 22:51:48,40.69226633,-73.98630172,9,51.660,,1.750,284,18,25,,
T,2021-10-21 22:51:49,40.69226466,-73.98631962,8,50.929,,0.780,284,20,25,,
T,2021-10-21 22:51:50,40.69226226,-73.98633394,7,49.352,,0.770,283,20,25,,
T,2021-10-21 22:51:51,40.69225562,-73.98634406,7,47.957,,1.220,283,20,25,,
T,2021-10-21 22:51:52,40.69224445,-73.98634731,6,45.723,,1.280,283,20,25,,
T,2021-10-21 22:51:53,40.69223306,-73.98634632,6,44.541,,1.200,283,20,25,,
T,2021-10-21 22:51:54,40.69222478,-73.98634476,6,43.137,,0.950,283,20,25,,
T,2021-10-21 22:51:55,40.69221924,-73.98634248,6,41.653,,0.800,284,19,25,,
T,2021-10-21 22:51:56,40.69221312,-73.98634514,6,40.477,,0.880,284,18,25,,
T,2021-10-21 22:51:57,40.69220789,-73.98636114,5,39.476,,1.360,271,18,25,,
T,2021-10-21 22:51:58,40.69220647,-73.98639136,6,38.200,,1.780,272,18,25,,
T,2021-10-21 22:51:59,40.69220786,-73.98641937,5,36.688,,1.310,277,19,25,,
T,2021-10-21 22:52:00,40.69220717,-73.98644512,5,36.105,,1.750,264,19,25,,
T,2021-10-21 22:52:01,40.69220693,-73.98646799,5,34.702,,1.230,255,19,25,,
T,2021-10-21 22:52:02,40.69220752,-73.98648946,5,33.948,,1.430,277,19,25,,
T,2021-10-21 22:52:03,40.69220912,-73.98650905,5,33.991,,1.270,277,19,25,,
T,2021-10-21 22:52:04,40.69220652,-73.98652829,5,34.087,,1.590,277,19,25,,
T,2021-10-21 22:52:05,40.69220279,-73.98654683,4,33.366,,1.330,277,19,25,,
