type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-13 18:35:24,40.71255991,-74.00724113,15,8.726,,0.000,,21,26,20211013-143524,GPS Logger: 20211013-143524
T,2021-10-13 18:35:25,40.71255944,-74.00723907,14,8.895,,0.000,,21,26,,
T,2021-10-13 18:35:26,40.71255851,-74.00723574,14,9.178,,0.000,,21,26,,
T,2021-10-13 18:35:27,40.71255777,-74.00723388,13,9.350,,0.000,,21,26,,
T,2021-10-13 18:35:28,40.71255668,-74.00723039,13,9.665,,0.000,,21,26,,
T,2021-10-13 18:35:29,40.71255598,-74.00722864,13,9.829,,0.000,,21,26,,
T,2021-10-13 18:35:30,40.71255537,-74.00722686,12,9.982,,0.000,,21,26,,
T,2021-10-13 18:35:31,40.71255487,-74.00722507,12,10.151,,0.000,,21,26,,
T,2021-10-13 18:35:32,40.71255423,-74.00722309,12,10.334,,0.000,,21,26,,
T,2021-10-13 18:35:33,40.71255397,-74.00722243,12,10.418,,0.000,,21,26,,
T,2021-10-13 18:35:34,40.71255370,-74.00722088,12,10.572,,0.000,,21,26,,
T,2021-10-13 18:35:35,40.71255285,-74.00721857,12,10.833,,0.000,,20,26,,
T,2021-10-13 18:35:36,40.71255225,-74.00721772,12,10.947,,0.000,,21,26,,
T,2021-10-13 18:35:37,40.71255199,-74.00721737,12,10.989,,0.000,,21,26,,
T,2021-10-13 18:35:38,40.71255162,-74.00721536,12,11.204,,0.000,,21,26,,
T,2021-10-13 18:35:39,40.71255114,-74.00721538,13,11.276,,0.000,,21,26,,
T,2021-10-13 18:35:40,40.71255055,-74.00721497,13,11.348,,0.000,,21,26,,
T,2021-10-13 18:35:41,40.71255034,-74.00721513,14,11.382,,0.000,,21,26,,
T,2021-10-13 18:35:42,40.71254965,-74.00721401,14,11.535,,0.000,,21,26,,
T,2021-10-13 18:35:43,40.71254918,-74.00721452,14,11.566,,0.000,,21,26,,
T,2021-10-13 18:35:44,40.71254879,-74.00721507,13,11.593,,0.000,,21,26,,
T,2021-10-13 18:35:45,40.71254842,-74.00721566,14,11.639,,0.000,,21,26,,
T,2021-10-13 18:35:46,40.71254832,-74.00721607,14,11.660,,0.000,,21,26,,
T,2021-10-13 18:35:47,40.71254842,-74.00721573,15,11.769,,0.000,,21,26,,
T,2021-10-13 18:35:48,40.71254849,-74.00721671,15,11.760,,0.000,,21,26,,
T,2021-10-13 18:35:49,40.71254853,-74.00721698,16,11.757,,0.000,,21,26,,
T,2021-10-13 18:35:50,40.71254845,-74.00721772,17,11.740,,0.000,,21,26,,
T,2021-10-13 18:35:51,40.71254835,-74.00721853,18,11.751,,0.000,,21,26,,
T,2021-10-13 18:35:52,40.71254832,-74.00721887,18,11.771,,0.000,,20,26,,
T,2021-10-13 18:35:53,40.71254810,-74.00721909,18,11.813,,0.000,,20,26,,
T,2021-10-13 18:35:54,40.71254807,-74.00721949,18,11.847,,0.000,,19,26,,
T,2021-10-13 18:35:55,40.71254799,-74.00722011,17,11.855,,0.000,,19,26,,
T,2021-10-13 18:35:56,40.71254776,-74.00722064,16,11.900,,0.000,,19,26,,
T,2021-10-13 18:35:57,40.71254765,-74.00722133,16,11.925,,0.000,,20,26,,
T,2021-10-13 18:35:58,40.71254758,-74.00722170,16,11.942,,0.000,,20,26,,
T,2021-10-13 18:35:59,40.71255821,-74.00725804,15,12.605,,0.860,216,20,26,,
T,2021-10-13 18:36:00,40.71260610,-74.00728059,17,14.613,,0.600,232,20,26,,
T,2021-10-13 18:36:01,40.71263566,-74.00730931,18,13.943,,0.770,282,20,26,,
T,2021-10-13 18:36:02,40.71263316,-74.00731802,17,14.298,,0.400,194,20,26,,
T,2021-10-13 18:36:03,40.71263174,-74.00732867,18,14.339,,0.640,204,19,26,,
T,2021-10-13 18:36:04,40.71263860,-74.00735496,18,12.073,,1.080,279,19,25,,
T,2021-10-13 18:36:05,40.71265478,-74.00738318,17,11.812,,1.240,295,19,26,,
T,2021-10-13 18:36:06,40.71266600,-74.00741153,18,9.992,,0.830,302,19,26,,
T,2021-10-13 18:36:07,40.71267535,-74.00743451,17,10.338,,0.560,285,19,26,,
T,2021-10-13 18:36:08,40.71267573,-74.00746915,17,7.138,,0.740,264,19,26,,
T,2021-10-13 18:36:09,40.71267259,-74.00750779,17,5.430,,1.220,242,19,26,,
T,2021-10-13 18:36:10,40.71266693,-74.00753683,17,5.102,,1.230,209,19,26,,
T,2021-10-13 18:36:11,40.71266718,-74.00755363,17,4.688,,0.930,186,19,26,,
T,2021-10-13 18:36:12,40.71266921,-74.00756722,17,4.200,,0.850,174,18,26,,
T,2021-10-13 18:36:13,40.71266959,-74.00758145,18,3.440,,0.480,164,18,26,,
T,2021-10-13 18:36:14,40.71267442,-74.00760378,17,3.953,,0.000,,18,26,,
T,2021-10-13 18:36:15,40.71267766,-74.00761568,17,3.966,,0.000,,18,26,,
T,2021-10-13 18:36:16,40.71268019,-74.00762050,17,4.426,,0.170,53,20,26,,
T,2021-10-13 18:36:17,40.71268504,-74.00762635,18,4.836,,0.200,41,20,26,,
T,2021-10-13 18:36:18,40.71269718,-74.00763285,18,4.529,,0.720,20,20,26,,
T,2021-10-13 18:36:19,40.71271308,-74.00763831,18,5.409,,1.010,33,20,26,,
T,2021-10-13 18:36:20,40.71272946,-74.00764712,18,5.875,,0.900,26,20,26,,
T,2021-10-13 18:36:21,40.71274591,-74.00765718,18,6.996,,1.200,17,20,26,,
T,2021-10-13 18:36:22,40.71275447,-74.00767053,17,7.930,,0.540,20,18,26,,
T,2021-10-13 18:36:23,40.71276568,-74.00768184,16,9.223,,1.010,38,18,26,,
T,2021-10-13 18:36:24,40.71278284,-74.00769621,15,10.031,,1.200,31,18,26,,
T,2021-10-13 18:36:25,40.71279139,-74.00771624,15,10.682,,0.640,44,16,26,,
T,2021-10-13 18:36:26,40.71280149,-74.00772765,14,11.146,,1.200,47,16,26,,
T,2021-10-13 18:36:27,40.71281116,-74.00773550,14,10.832,,1.070,32,17,26,,
T,2021-10-13 18:36:28,40.71282196,-74.00774568,14,10.451,,1.180,15,17,26,,
T,2021-10-13 18:36:29,40.71282534,-74.00775743,14,8.658,,0.320,11,16,26,,
T,2021-10-13 18:36:30,40.71282172,-74.00776065,14,6.414,,0.380,60,16,26,,
T,2021-10-13 18:36:31,40.71281988,-74.00776378,14,6.515,,0.270,54,18,26,,
T,2021-10-13 18:36:32,40.71282841,-74.00776378,14,6.302,,1.350,35,18,26,,
T,2021-10-13 18:36:33,40.71283399,-74.00776393,14,5.328,,1.000,34,18,26,,
T,2021-10-13 18:36:34,40.71282491,-74.00776596,14,1.070,,0.280,37,18,26,,
T,2021-10-13 18:36:35,40.71281959,-74.00775604,14,-3.256,,1.400,56,18,26,,
T,2021-10-13 18:36:36,40.71280654,-74.00774490,14,-5.699,,0.960,85,18,26,,
T,2021-10-13 18:36:37,40.71278647,-74.00773880,14,-8.823,,0.820,149,17,26,,
T,2021-10-13 18:36:38,40.71276257,-74.00773773,14,-11.052,,1.110,172,17,26,,
T,2021-10-13 18:36:39,40.71273997,-74.00773455,15,-12.678,,1.090,170,16,26,,
T,2021-10-13 18:36:40,40.71272201,-74.00773151,15,-14.660,,0.980,171,16,26,,
