type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-16 21:58:14,40.71187826,-74.01008401,11,0.631,,0.000,,15,25,20211016-175814,GPS Logger: 20211016-175814
T,2021-10-16 21:58:15,40.71188440,-74.01007561,11,-0.598,,0.000,,15,25,,
T,2021-10-16 21:58:16,40.71188995,-74.01007244,11,-2.158,,0.000,,16,25,,
T,2021-10-16 21:58:17,40.71189028,-74.01007056,11,-1.634,,0.000,,17,25,,
T,2021-10-16 21:58:18,40.71189198,-74.01006956,11,-2.215,,0.000,,17,25,,
T,2021-10-16 21:58:19,40.71189910,-74.01006960,11,-1.191,,0.390,12,17,25,,
T,2021-10-16 21:58:20,40.71190709,-74.01006830,10,-0.448,,0.670,16,17,25,,
T,2021-10-16 21:58:21,40.71191354,-74.01006692,10,-0.041,,0.510,9,17,25,,
T,2021-10-16 21:58:22,40.71191858,-74.01006958,10,0.496,,0.000,,19,25,,
T,2021-10-16 21:58:23,40.71193753,-74.01008179,10,-0.222,,2.540,329,19,25,,
T,2021-10-16 21:58:24,40.71195609,-74.01009993,10,-1.171,,2.010,319,18,25,,
T,2021-10-16 21:58:25,40.71197043,-74.01011903,9,-1.404,,1.740,315,17,25,,
T,2021-10-16 21:58:26,40.71198649,-74.01013414,9,-2.864,,1.720,320,17,25,,
T,2021-10-16 21:58:27,40.71200225,-74.01015023,9,-4.278,,1.660,309,18,25,,
T,2021-10-16 21:58:28,40.71201551,-74.01016756,8,-3.872,,1.660,309,18,25,,
T,2021-10-16 21:58:29,40.71203060,-74.01018479,8,-5.532,,1.580,308,18,25,,
T,2021-10-16 21:58:30,40.71204285,-74.01020231,8,-6.095,,1.570,300,18,25,,
T,2021-10-16 21:58:31,40.71205469,-74.01021848,8,-6.850,,1.530,292,18,25,,
T,2021-10-16 21:58:32,40.71206198,-74.01023571,7,-6.727,,1.520,287,18,25,,
T,2021-10-16 21:58:33,40.71206849,-74.01025230,7,-6.301,,1.490,288,18,25,,
T,2021-10-16 21:58:34,40.71207460,-74.01026767,7,-6.481,,1.420,290,18,25,,
T,2021-10-16 21:58:35,40.71208397,-74.01028335,6,-5.339,,1.450,298,17,25,,
T,2021-10-16 21:58:36,40.71209765,-74.01030022,5,-6.317,,1.680,315,17,25,,
T,2021-10-16 21:58:37,40.71211210,-74.01031296,6,-6.364,,1.550,326,17,25,,
T,2021-10-16 21:58:38,40.71212516,-74.01032923,6,-6.001,,1.770,311,18,25,,
T,2021-10-16 21:58:39,40.71213637,-74.01034764,6,-6.859,,1.690,308,18,25,,
T,2021-10-16 21:58:40,40.71214575,-74.01035877,6,-7.148,,1.330,314,17,25,,
T,2021-10-16 21:58:41,40.71215200,-74.01036265,6,-7.784,,1.210,318,17,25,,
T,2021-10-16 21:58:42,40.71215719,-74.01036960,6,-8.414,,1.330,298,17,25,,
T,2021-10-16 21:58:43,40.71216018,-74.01037599,6,-7.770,,1.120,301,17,25,,
T,2021-10-16 21:58:44,40.71216324,-74.01038334,6,-7.743,,1.180,291,17,25,,
T,2021-10-16 21:58:45,40.71216497,-74.01039307,6,-7.719,,1.080,290,17,25,,
T,2021-10-16 21:58:46,40.71216941,-74.01040243,7,-8.763,,1.200,315,17,25,,
T,2021-10-16 21:58:47,40.71217498,-74.01041100,7,-9.258,,1.090,312,17,25,,
