type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-19 00:33:05,40.73372771,-73.99928409,8,-18.508,,0.000,,21,27,20211018-203305,GPS Logger: 20211018-203305 - W 8 to W 14
T,2021-10-19 00:33:06,40.73372926,-73.99928484,8,-18.133,,0.000,,23,27,,
T,2021-10-19 00:33:07,40.73373033,-73.99928767,8,-17.754,,0.000,,23,27,,
T,2021-10-19 00:33:08,40.73373091,-73.99929016,8,-17.501,,0.000,,23,27,,
T,2021-10-19 00:33:09,40.73373143,-73.99929277,7,-17.297,,0.000,,23,28,,
T,2021-10-19 00:33:10,40.73373160,-73.99929601,7,-17.020,,0.000,,23,28,,
T,2021-10-19 00:33:11,40.73373182,-73.99929740,7,-16.890,,0.000,,23,28,,
T,2021-10-19 00:33:12,40.73373201,-73.99929874,7,-16.762,,0.000,,23,28,,
T,2021-10-19 00:33:13,40.73373203,-73.99929982,6,-16.675,,0.000,,23,28,,
T,2021-10-19 00:33:14,40.73373446,-73.99931459,7,-16.686,,0.390,350,23,28,,
T,2021-10-19 00:33:15,40.73374142,-73.99932670,7,-16.905,,0.250,38,23,28,,
T,2021-10-19 00:33:16,40.73374748,-73.99932736,7,-17.854,,1.160,51,23,28,,
T,2021-10-19 00:33:17,40.73375074,-73.99931277,7,-19.347,,1.010,87,23,28,,
T,2021-10-19 00:33:18,40.73375661,-73.99931192,8,-19.562,,0.700,65,23,28,,
T,2021-10-19 00:33:19,40.73376871,-73.99931011,10,-19.122,,0.970,27,23,28,,
T,2021-10-19 00:33:20,40.73377800,-73.99930004,7,-20.548,,1.070,38,23,28,,
T,2021-10-19 00:33:21,40.73378287,-73.99929163,7,-21.388,,0.720,55,22,28,,
T,2021-10-19 00:33:22,40.73378961,-73.99927930,6,-21.780,,1.250,51,22,28,,
T,2021-10-19 00:33:23,40.73379612,-73.99926721,6,-21.755,,1.170,50,22,28,,
T,2021-10-19 00:33:24,40.73380448,-73.99926049,5,-21.020,,1.050,42,20,28,,
T,2021-10-19 00:33:25,40.73381453,-73.99925290,5,-21.822,,1.110,37,19,28,,
T,2021-10-19 00:33:26,40.73382471,-73.99924603,5,-21.911,,1.100,34,19,28,,
T,2021-10-19 00:33:27,40.73383435,-73.99923877,5,-22.371,,1.120,46,20,28,,
T,2021-10-19 00:33:28,40.73384314,-73.99923177,4,-22.582,,1.070,46,20,28,,
T,2021-10-19 00:33:29,40.73385277,-73.99922439,4,-23.403,,1.040,52,20,28,,
