type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-11-17 18:59:31,40.72947830,-73.99658280,19,-22.000,,0.000,,5,19,20211117-135931,GPS Logger: 20211117-135931
T,2021-11-17 18:59:32,40.72947060,-73.99657336,22,-20.000,,0.000,,5,19,,
T,2021-11-17 18:59:33,40.72951923,-73.99659176,24,-20.000,,0.000,,6,19,,
T,2021-11-17 18:59:34,40.72952865,-73.99658419,25,-14.000,,0.000,,6,19,,
T,2021-11-17 18:59:35,40.72952486,-73.99656437,25,-10.000,,0.000,,8,19,,
T,2021-11-17 18:59:36,40.72957238,-73.99658485,25,-7.000,,0.000,,5,19,,
T,2021-11-17 18:59:37,40.72959243,-73.99659908,22,-5.000,,0.000,,6,19,,
T,2021-11-17 18:59:38,40.72957996,-73.99659321,21,-5.000,,0.000,,10,19,,
T,2021-11-17 18:59:39,40.72959160,-73.99659449,20,-2.000,,0.000,,10,19,,
T,2021-11-17 18:59:41,40.72958235,-73.99658231,20,-3.000,,0.000,,8,19,,
T,2021-11-17 18:59:43,40.72959046,-73.99658852,22,-3.000,,0.000,,8,19,,
T,2021-11-17 18:59:44,40.72958983,-73.99658724,22,-2.000,,0.000,,7,19,,
T,2021-11-17 18:59:45,40.72959666,-73.99657865,26,0.000,,1.280,358,5,19,,
T,2021-11-17 18:59:46,40.72972135,-73.99664146,25,1.000,,2.490,352,8,19,,
T,2021-11-17 18:59:47,40.72966229,-73.99659204,22,0.000,,0.000,,5,19,,
T,2021-11-17 18:59:50,40.72965245,-73.99658722,20,-2.000,,0.000,,8,19,,
T,2021-11-17 18:59:51,40.72970330,-73.99660958,20,-4.000,,0.900,3,8,19,,
T,2021-11-17 18:59:52,40.72972260,-73.99662475,20,-5.000,,1.120,1,8,19,,
T,2021-11-17 18:59:53,40.72973753,-73.99663677,18,-6.000,,1.130,353,8,19,,
T,2021-11-17 18:59:54,40.72976943,-73.99664767,18,-8.000,,1.190,352,9,19,,
T,2021-11-17 18:59:56,40.72980531,-73.99666274,15,-6.000,,0.410,360,9,19,,
T,2021-11-17 18:59:57,40.72982237,-73.99666589,11,-6.000,,0.400,17,8,19,,
T,2021-11-17 18:59:58,40.72980373,-73.99664652,11,-4.000,,1.140,152,11,19,,
T,2021-11-17 19:00:00,40.72982393,-73.99664862,11,-3.000,,0.640,43,10,19,,
T,2021-11-17 19:00:01,40.72985362,-73.99666676,11,-2.000,,0.750,1,10,19,,
T,2021-11-17 19:00:03,40.72987436,-73.99668614,11,-2.000,,0.260,89,9,19,,
T,2021-11-17 19:00:04,40.72987256,-73.99667049,11,-2.000,,0.580,71,9,19,,
T,2021-11-17 19:00:05,40.72986568,-73.99665947,12,-2.000,,0.450,59,10,19,,
T,2021-11-17 19:00:07,40.72989020,-73.99665442,14,-3.000,,0.940,2,9,19,,
T,2021-11-17 19:00:08,40.72990568,-73.99665899,13,-4.000,,1.140,9,8,19,,
T,2021-11-17 19:00:09,40.72992499,-73.99667293,14,-3.000,,0.850,341,10,19,,
T,2021-11-17 19:00:10,40.72994294,-73.99668071,13,-4.000,,0.590,327,10,19,,
T,2021-11-17 19:00:12,40.72995170,-73.99668455,13,-6.000,,0.460,48,9,19,,
T,2021-11-17 19:00:13,40.72996179,-73.99669743,13,-6.000,,1.020,348,9,19,,
T,2021-11-17 19:00:14,40.72997527,-73.99671019,13,-6.000,,0.960,346,9,19,,
T,2021-11-17 19:00:16,40.72998546,-73.99671763,12,-4.000,,0.580,16,10,19,,
T,2021-11-17 19:00:18,40.72999068,-73.99673002,10,-7.000,,0.290,37,10,19,,
T,2021-11-17 19:00:19,40.73001345,-73.99674421,10,-6.000,,0.440,2,10,19,,
T,2021-11-17 19:00:21,40.73004086,-73.99676014,9,-8.000,,1.130,356,10,19,,
T,2021-11-17 19:00:23,40.73005827,-73.99677699,6,-8.000,,0.870,332,10,19,,
T,2021-11-17 19:00:24,40.73007674,-73.99679358,6,-9.000,,0.980,337,11,19,,
T,2021-11-17 19:00:25,40.73009879,-73.99679638,5,-12.000,,1.370,346,11,19,,
T,2021-11-17 19:00:26,40.73010817,-73.99679808,5,-12.000,,1.350,343,10,19,,
T,2021-11-17 19:00:27,40.73012729,-73.99680154,4,-13.000,,1.340,346,10,19,,
T,2021-11-17 19:00:29,40.73014661,-73.99680450,4,-13.000,,0.450,2,10,19,,
T,2021-11-17 19:00:30,40.73015906,-73.99682587,4,-15.000,,1.110,335,10,19,,
