type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-11-17 16:50:31,40.75361922,-73.98061439,15,-156.000,,0.430,120,6,21,20211117-115031,GPS Logger: 20211117-115031 - Nov 17
T,2021-11-17 16:50:32,40.75359938,-73.98059036,14,-161.000,,0.510,103,1,21,,
T,2021-11-17 16:50:34,40.75358218,-73.98059305,18,-178.000,,0.440,147,5,21,,
T,2021-11-17 16:50:35,40.75359755,-73.98059598,15,-171.000,,0.000,,5,21,,
T,2021-11-17 16:50:36,40.75363117,-73.98068705,15,-148.000,,0.320,122,5,21,,
T,2021-11-17 16:50:37,40.75365276,-73.98069411,15,-138.000,,0.610,110,5,22,,
T,2021-11-17 16:50:38,40.75364517,-73.98070756,15,-137.000,,0.420,117,5,23,,
T,2021-11-17 16:50:39,40.75363911,-73.98069727,15,-137.000,,0.350,77,5,23,,
T,2021-11-17 16:50:40,40.75364222,-73.98068458,18,-135.000,,0.850,111,4,23,,
T,2021-11-17 16:50:41,40.75364600,-73.98066540,20,-137.000,,0.670,97,5,23,,
T,2021-11-17 16:50:42,40.75365225,-73.98065245,18,-137.000,,0.540,103,6,23,,
T,2021-11-17 16:50:43,40.75364363,-73.98065770,19,-137.000,,0.320,72,6,23,,
T,2021-11-17 16:50:46,40.75364410,-73.98064409,20,-133.000,,0.410,46,6,23,,
T,2021-11-17 16:50:47,40.75364420,-73.98064298,22,-135.000,,0.000,,6,23,,
T,2021-11-17 16:50:53,40.75364763,-73.98064612,65,-134.000,,0.000,,1,23,,
T,2021-11-17 16:50:54,40.75362102,-73.98071589,85,-137.000,,0.980,255,1,23,,
T,2021-11-17 16:50:55,40.75210609,-73.98374559,110,79.000,,0.430,255,1,23,,
T,2021-11-17 16:50:56,40.75217227,-73.98391265,108,86.000,,1.900,226,3,23,,
T,2021-11-17 16:50:57,40.75216498,-73.98397922,95,97.000,,0.250,226,5,23,,
T,2021-11-17 16:50:58,40.75293101,-73.98279582,115,77.000,,0.600,226,5,23,,
T,2021-11-17 16:50:59,40.75366638,-73.98064991,102,-133.000,,0.370,324,5,23,,
T,2021-11-17 16:51:00,40.75372921,-73.98056945,92,-130.000,,0.900,355,5,23,,
T,2021-11-17 16:51:01,40.75371375,-73.98057893,86,-126.000,,1.040,326,6,23,,
T,2021-11-17 16:51:02,40.75373810,-73.98057923,83,-123.000,,1.140,324,6,23,,
T,2021-11-17 16:51:03,40.75375445,-73.98060516,86,-121.000,,1.130,316,6,23,,
T,2021-11-17 16:51:04,40.75374959,-73.98061808,88,-119.000,,1.160,315,6,23,,
T,2021-11-17 16:51:05,40.75376093,-73.98063278,91,-118.000,,1.160,308,6,23,,
T,2021-11-17 16:51:06,40.75377148,-73.98065464,93,-116.000,,1.180,303,5,23,,
T,2021-11-17 16:51:07,40.75376115,-73.98069847,92,-114.000,,1.220,288,4,23,,
T,2021-11-17 16:51:08,40.75374503,-73.98071249,94,-113.000,,1.170,285,5,23,,
T,2021-11-17 16:51:09,40.75371564,-73.98072644,95,-111.000,,0.990,249,5,23,,
T,2021-11-17 16:51:10,40.75369827,-73.98074622,99,-111.000,,1.270,238,5,22,,
T,2021-11-17 16:51:11,40.75367418,-73.98076996,97,-109.000,,1.250,253,5,22,,
T,2021-11-17 16:51:12,40.75373552,-73.98072547,89,-109.000,,0.770,274,5,23,,
T,2021-11-17 16:51:14,40.75373356,-73.98079125,98,-107.000,,1.190,270,5,23,,
T,2021-11-17 16:51:15,40.75377659,-73.98078196,96,-106.000,,0.980,297,4,23,,
T,2021-11-17 16:51:16,40.75382261,-73.98076849,90,-105.000,,1.180,347,5,23,,
T,2021-11-17 16:51:17,40.75385886,-73.98079886,86,-106.000,,1.520,344,5,23,,
