type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-17 18:18:52,40.75694319,-73.98320559,66,629.000,,0.000,,3,19,20211017-141852,GPS Logger: 20211017-141852
T,2021-10-17 18:18:53,40.75693307,-73.98320804,64,630.000,,0.000,,4,19,,
T,2021-10-17 18:18:54,40.75707264,-73.98310515,56,574.000,,0.000,,3,19,,
T,2021-10-17 18:18:55,40.75706282,-73.98310252,55,573.000,,0.000,,3,19,,
T,2021-10-17 18:18:56,40.75703480,-73.98311379,54,572.000,,0.000,,6,19,,
T,2021-10-17 18:18:57,40.75700243,-73.98312880,55,573.000,,0.000,,5,19,,
T,2021-10-17 18:18:59,40.75701514,-73.98311412,53,572.000,,0.000,,4,19,,
T,2021-10-17 18:19:02,40.75699450,-73.98311941,59,581.000,,0.000,,3,19,,
T,2021-10-17 18:19:05,40.75700939,-73.98310372,58,575.000,,0.000,,4,19,,
T,2021-10-17 18:19:06,40.75702343,-73.98309365,56,569.000,,0.000,,4,19,,
T,2021-10-17 18:19:08,40.75705494,-73.98307074,58,556.000,,0.000,,5,19,,
T,2021-10-17 18:19:14,40.75705463,-73.98305812,49,555.000,,0.000,,4,20,,
T,2021-10-17 18:19:22,40.75705323,-73.98304541,50,554.000,,0.000,,4,20,,
T,2021-10-17 18:19:28,40.75704117,-73.98304123,56,558.000,,0.000,,3,20,,
T,2021-10-17 18:19:34,40.75702453,-73.98304221,49,564.000,,0.000,,3,20,,
T,2021-10-17 18:19:35,40.75703448,-73.98304021,49,560.000,,0.000,,3,20,,
T,2021-10-17 18:19:36,40.75704401,-73.98303258,42,557.000,,0.000,,5,20,,
T,2021-10-17 18:19:38,40.75705490,-73.98302148,40,553.000,,0.000,,6,20,,
T,2021-10-17 18:19:42,40.75705857,-73.98300952,37,551.000,,0.000,,4,20,,
T,2021-10-17 18:19:48,40.75706036,-73.98299713,30,549.000,,0.000,,5,20,,
T,2021-10-17 18:19:53,40.75705011,-73.98299340,24,552.000,,0.000,,6,20,,
T,2021-10-17 18:20:03,40.75705393,-73.98298089,27,549.000,,0.000,,3,20,,
T,2021-10-17 18:20:15,40.75705722,-73.98296962,35,546.000,,0.000,,5,20,,
T,2021-10-17 18:20:23,40.75705549,-73.98296478,37,545.000,,0.000,,7,20,,
T,2021-10-17 18:20:24,40.75695397,-73.98299517,34,532.000,,0.850,234,7,20,,
T,2021-10-17 18:20:25,40.75678826,-73.98309120,32,533.000,,0.850,249,5,20,,
T,2021-10-17 18:20:26,40.75674390,-73.98307921,28,533.000,,0.350,335,5,20,,
T,2021-10-17 18:20:27,40.75672727,-73.98311453,28,537.000,,0.300,224,5,20,,
T,2021-10-17 18:20:28,40.75671060,-73.98312280,29,536.000,,0.500,179,6,20,,
T,2021-10-17 18:20:29,40.75673265,-73.98311507,29,529.000,,0.370,124,6,20,,
T,2021-10-17 18:20:30,40.75674057,-73.98310283,29,528.000,,0.370,80,4,20,,
T,2021-10-17 18:20:31,40.75673847,-73.98310575,31,528.000,,0.000,,6,20,,
T,2021-10-17 18:20:32,40.75672294,-73.98310535,30,527.000,,0.000,,3,20,,
T,2021-10-17 18:20:33,40.75659405,-73.98314189,28,525.000,,0.000,,3,20,,
T,2021-10-17 18:20:34,40.75670264,-73.98307530,26,479.000,,0.000,,6,20,,
T,2021-10-17 18:20:38,40.75667601,-73.98307856,25,476.000,,0.000,,4,20,,
T,2021-10-17 18:20:39,40.75662641,-73.98307854,23,474.000,,0.000,,5,20,,
T,2021-10-17 18:20:40,40.75661629,-73.98308105,21,474.000,,0.000,,5,20,,
T,2021-10-17 18:20:41,40.75657904,-73.98308885,20,474.000,,0.000,,5,20,,
T,2021-10-17 18:20:45,40.75658943,-73.98308574,23,469.000,,0.000,,5,20,,
T,2021-10-17 18:20:46,40.75661032,-73.98307551,24,461.000,,0.000,,5,20,,
T,2021-10-17 18:20:50,40.75661984,-73.98307101,29,456.000,,0.000,,4,20,,
T,2021-10-17 18:20:52,40.75665224,-73.98305692,30,445.000,,0.000,,6,20,,
T,2021-10-17 18:20:54,40.75667982,-73.98304487,34,435.000,,0.000,,5,20,,
T,2021-10-17 18:20:55,40.75674435,-73.98301645,33,412.000,,0.000,,4,19,,
T,2021-10-17 18:20:56,40.75677773,-73.98300217,34,400.000,,0.000,,6,20,,
T,2021-10-17 18:20:57,40.75687358,-73.98296015,34,366.000,,0.000,,7,20,,
T,2021-10-17 18:20:59,40.75688907,-73.98294831,33,361.000,,0.000,,7,20,,
T,2021-10-17 18:21:02,40.75690394,-73.98293572,33,356.000,,0.000,,6,20,,
T,2021-10-17 18:21:23,40.75690978,-73.98294488,38,349.000,,0.000,,5,20,,
T,2021-10-17 18:21:48,40.75691284,-73.98295619,34,344.000,,0.000,,6,20,,
T,2021-10-17 18:22:36,40.75690383,-73.98295753,36,341.000,,0.000,,3,20,,
T,2021-10-17 18:22:49,40.75689900,-73.98296304,29,340.000,,0.000,,6,20,,
T,2021-10-17 18:22:50,40.75690356,-73.98296136,28,331.000,,0.860,260,5,20,,
T,2021-10-17 18:22:51,40.75680808,-73.98295889,27,330.000,,0.950,247,9,20,,
T,2021-10-17 18:22:52,40.75677482,-73.98293554,26,324.000,,0.910,251,5,20,,
T,2021-10-17 18:22:53,40.75674021,-73.98292448,26,322.000,,0.900,230,5,20,,
T,2021-10-17 18:22:54,40.75678886,-73.98285977,26,307.000,,0.390,179,5,20,,
T,2021-10-17 18:22:55,40.75674350,-73.98284384,28,306.000,,0.570,196,4,20,,
T,2021-10-17 18:22:56,40.75670011,-73.98284083,31,306.000,,1.430,174,4,20,,
T,2021-10-17 18:22:58,40.75668814,-73.98282563,32,307.000,,0.820,132,4,20,,
T,2021-10-17 18:22:59,40.75666037,-73.98281143,35,307.000,,0.680,132,3,20,,
T,2021-10-17 18:23:01,40.75664335,-73.98282442,38,304.000,,1.360,236,4,21,,
T,2021-10-17 18:23:02,40.75667146,-73.98279634,42,298.000,,0.790,231,3,21,,
T,2021-10-17 18:23:03,40.75666291,-73.98278442,46,295.000,,1.250,214,5,21,,
T,2021-10-17 18:23:04,40.75666055,-73.98280363,49,295.000,,1.320,235,5,21,,
T,2021-10-17 18:23:05,40.75663002,-73.98282951,57,296.000,,1.510,238,2,21,,
T,2021-10-17 18:23:06,40.75660116,-73.98285995,61,296.000,,1.440,240,2,21,,
