type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-15 03:13:25,40.71952625,-73.96464037,14,12.000,,0.650,118,10,20,20211014-231325,GPS Logger: 20211014-231325
T,2021-10-15 03:13:26,40.71951270,-73.96465007,13,12.000,,0.380,134,10,21,,
T,2021-10-15 03:13:27,40.71949377,-73.96461626,14,13.000,,0.990,90,10,21,,
T,2021-10-15 03:13:28,40.71948517,-73.96460456,13,14.000,,1.330,65,10,21,,
T,2021-10-15 03:13:29,40.71948337,-73.96454226,11,17.000,,1.530,67,12,21,,
T,2021-10-15 03:13:30,40.71948888,-73.96451745,12,17.000,,1.200,67,9,21,,
T,2021-10-15 03:13:31,40.71947999,-73.96449796,11,18.000,,1.220,75,10,21,,
T,2021-10-15 03:13:32,40.71947683,-73.96447953,11,18.000,,1.390,47,8,21,,
T,2021-10-15 03:13:35,40.71947789,-73.96446021,9,12.000,,0.400,52,9,21,,
T,2021-10-15 03:13:36,40.71946944,-73.96444009,10,12.000,,0.700,81,12,21,,
T,2021-10-15 03:13:37,40.71946530,-73.96446119,10,9.000,,0.000,,10,21,,
T,2021-10-15 03:13:38,40.71945495,-73.96443473,11,9.000,,0.640,120,10,21,,
T,2021-10-15 03:13:39,40.71947132,-73.96434983,11,11.000,,1.400,74,10,21,,
T,2021-10-15 03:13:40,40.71949600,-73.96427255,12,10.000,,2.180,68,10,21,,
T,2021-10-15 03:13:41,40.71950213,-73.96423876,12,10.000,,1.300,80,12,21,,
T,2021-10-15 03:13:42,40.71951112,-73.96419006,11,11.000,,0.550,85,11,21,,
T,2021-10-15 03:13:43,40.71951939,-73.96414939,11,11.000,,0.550,68,9,21,,
T,2021-10-15 03:13:44,40.71951930,-73.96412547,10,9.000,,0.520,102,11,21,,
T,2021-10-15 03:13:45,40.71952559,-73.96410419,10,8.000,,0.380,54,11,21,,
T,2021-10-15 03:13:46,40.71952155,-73.96410230,10,6.000,,0.530,10,9,21,,
T,2021-10-15 03:13:47,40.71951089,-73.96409589,10,6.000,,0.000,,9,21,,
T,2021-10-15 03:13:49,40.71950965,-73.96407978,10,4.000,,0.000,,7,21,,
T,2021-10-15 03:13:53,40.71950520,-73.96406616,15,4.000,,0.000,,9,21,,
T,2021-10-15 03:13:56,40.71950582,-73.96405758,20,3.000,,0.000,,8,21,,
T,2021-10-15 03:13:57,40.71947750,-73.96403835,18,3.000,,0.320,169,9,21,,
T,2021-10-15 03:13:58,40.71948183,-73.96404230,19,2.000,,0.000,,6,21,,
T,2021-10-15 03:13:59,40.71949263,-73.96403428,18,3.000,,0.430,24,6,21,,
T,2021-10-15 03:14:01,40.71950656,-73.96402467,19,2.000,,0.640,13,5,21,,
T,2021-10-15 03:14:02,40.71952662,-73.96401696,19,-1.000,,0.800,3,5,21,,
T,2021-10-15 03:14:05,40.71951638,-73.96400291,19,-2.000,,0.660,322,10,21,,
T,2021-10-15 03:14:06,40.71953085,-73.96400225,20,-2.000,,0.700,335,9,20,,
T,2021-10-15 03:14:07,40.71952128,-73.96398113,19,-1.000,,0.190,348,9,20,,
T,2021-10-15 03:14:08,40.71953579,-73.96400819,19,-3.000,,0.720,261,10,21,,
T,2021-10-15 03:14:09,40.71954247,-73.96401528,19,-3.000,,0.420,270,10,21,,
T,2021-10-15 03:14:10,40.71954065,-73.96400457,19,-3.000,,0.000,,10,21,,
T,2021-10-15 03:14:11,40.71955643,-73.96401716,18,-1.000,,0.410,320,8,20,,
T,2021-10-15 03:14:12,40.71954800,-73.96398840,17,0.000,,0.360,152,9,21,,
T,2021-10-15 03:14:13,40.71954060,-73.96396116,17,0.000,,0.500,142,8,21,,
T,2021-10-15 03:14:14,40.71953366,-73.96390604,15,1.000,,1.710,110,6,21,,
T,2021-10-15 03:14:15,40.71952688,-73.96387268,14,3.000,,1.190,114,9,21,,
T,2021-10-15 03:14:16,40.71951676,-73.96381842,13,1.000,,1.480,119,9,21,,
T,2021-10-15 03:14:17,40.71953614,-73.96379622,12,-2.000,,1.040,96,9,21,,
T,2021-10-15 03:14:18,40.71955057,-73.96378825,13,-2.000,,0.840,87,9,21,,
T,2021-10-15 03:14:19,40.71956267,-73.96379435,13,-2.000,,0.450,83,6,21,,
T,2021-10-15 03:14:20,40.71956514,-73.96377847,16,-2.000,,0.610,97,9,21,,
T,2021-10-15 03:14:21,40.71958698,-73.96378083,19,-2.000,,0.450,57,8,21,,
T,2021-10-15 03:14:22,40.71958591,-73.96371860,21,-2.000,,1.370,86,8,21,,
T,2021-10-15 03:14:23,40.71962874,-73.96370219,19,-3.000,,1.090,78,9,21,,
T,2021-10-15 03:14:24,40.71961585,-73.96370500,14,-4.000,,0.350,148,7,20,,
T,2021-10-15 03:14:26,40.71962267,-73.96368431,13,-4.000,,0.350,168,10,21,,
T,2021-10-15 03:14:27,40.71961832,-73.96365670,14,-4.000,,0.510,138,9,21,,
T,2021-10-15 03:14:28,40.71962661,-73.96362495,15,-2.000,,0.910,98,7,21,,
T,2021-10-15 03:14:30,40.71961262,-73.96359964,12,-2.000,,0.820,132,8,21,,
T,2021-10-15 03:14:31,40.71960722,-73.96357275,13,-1.000,,0.880,127,10,21,,
T,2021-10-15 03:14:32,40.71960015,-73.96355688,11,-3.000,,0.440,110,9,21,,
T,2021-10-15 03:14:33,40.71961221,-73.96356628,10,-4.000,,0.240,117,9,21,,
T,2021-10-15 03:14:34,40.71960731,-73.96351407,9,-6.000,,0.510,98,9,21,,
T,2021-10-15 03:14:35,40.71960456,-73.96349968,9,-7.000,,0.340,58,9,21,,
T,2021-10-15 03:14:36,40.71961829,-73.96350039,8,-10.000,,0.000,,9,21,,
T,2021-10-15 03:14:37,40.71962026,-73.96348832,8,-11.000,,0.300,34,9,21,,
T,2021-10-15 03:14:38,40.71960772,-73.96348404,8,-10.000,,0.290,182,9,21,,
T,2021-10-15 03:14:40,40.71959774,-73.96346768,11,-10.000,,0.410,136,9,21,,
T,2021-10-15 03:14:41,40.71959324,-73.96344582,11,-10.000,,0.520,123,9,21,,
T,2021-10-15 03:14:42,40.71960102,-73.96341557,12,-11.000,,0.840,83,8,21,,
T,2021-10-15 03:14:43,40.71960871,-73.96339375,12,-10.000,,1.070,76,9,21,,
T,2021-10-15 03:14:44,40.71962523,-73.96340623,14,-10.000,,0.880,49,9,21,,
T,2021-10-15 03:14:45,40.71963061,-73.96335038,14,-9.000,,1.210,91,9,21,,
T,2021-10-15 03:14:46,40.71959779,-73.96333838,13,-9.000,,1.340,121,8,21,,
T,2021-10-15 03:14:47,40.71958919,-73.96332111,11,-6.000,,1.350,117,10,20,,
T,2021-10-15 03:14:48,40.71956086,-73.96322101,14,-8.000,,2.760,116,10,20,,
T,2021-10-15 03:14:49,40.71954358,-73.96316814,13,-10.000,,1.610,123,10,20,,
T,2021-10-15 03:14:50,40.71953556,-73.96314594,12,-10.000,,1.560,121,10,20,,
T,2021-10-15 03:14:52,40.71953911,-73.96317230,11,-12.000,,0.190,47,10,20,,
T,2021-10-15 03:14:53,40.71952537,-73.96316857,11,-11.000,,0.300,173,10,20,,
T,2021-10-15 03:14:54,40.71950735,-73.96315893,11,-12.000,,0.400,166,10,20,,
T,2021-10-15 03:14:55,40.71950331,-73.96317093,11,-10.000,,0.000,,10,20,,
T,2021-10-15 03:14:57,40.71949463,-73.96317451,11,-8.000,,0.000,,9,20,,
T,2021-10-15 03:14:59,40.71949234,-73.96316148,12,-9.000,,0.000,,11,20,,
T,2021-10-15 03:15:03,40.71948369,-73.96314511,11,-10.000,,0.000,,10,20,,
T,2021-10-15 03:15:11,40.71948320,-73.96313328,11,-12.000,,0.000,,9,20,,
T,2021-10-15 03:15:15,40.71948288,-73.96313187,11,-12.000,,0.000,,9,19,,
T,2021-10-15 03:15:16,40.71947025,-73.96311126,11,-12.000,,0.400,95,9,18,,
T,2021-10-15 03:15:17,40.71943518,-73.96309201,10,-11.000,,0.870,128,9,19,,
T,2021-10-15 03:15:18,40.71940610,-73.96307816,10,-14.000,,1.560,142,9,19,,
T,2021-10-15 03:15:19,40.71938615,-73.96306703,10,-14.000,,1.200,130,6,19,,
T,2021-10-15 03:15:20,40.71937413,-73.96305540,11,-12.000,,0.560,140,7,19,,
T,2021-10-15 03:15:21,40.71935492,-73.96306610,11,-12.000,,0.790,176,9,19,,
T,2021-10-15 03:15:22,40.71934120,-73.96304500,11,-11.000,,0.660,143,8,19,,
T,2021-10-15 03:15:24,40.71932192,-73.96302607,11,-9.000,,0.490,171,6,19,,
T,2021-10-15 03:15:25,40.71931180,-73.96301231,12,-9.000,,0.550,151,6,19,,
T,2021-10-15 03:15:26,40.71931859,-73.96300501,11,-7.000,,0.000,,8,19,,
T,2021-10-15 03:16:01,40.71932566,-73.96299805,11,-11.000,,0.000,,10,19,,
T,2021-10-15 03:16:02,40.71932514,-73.96294639,11,-10.000,,0.600,76,12,19,,
T,2021-10-15 03:16:03,40.71932205,-73.96291201,11,-12.000,,0.990,126,12,19,,
T,2021-10-15 03:16:04,40.71931642,-73.96289121,12,-7.000,,0.470,131,10,19,,
T,2021-10-15 03:16:05,40.71931741,-73.96287093,12,-6.000,,0.620,113,10,19,,
T,2021-10-15 03:16:06,40.71932567,-73.96284827,12,-7.000,,0.610,116,8,19,,
T,2021-10-15 03:16:07,40.71933828,-73.96283185,12,-8.000,,0.760,94,9,19,,
T,2021-10-15 03:16:08,40.71935335,-73.96281287,12,-6.000,,0.830,56,9,19,,
T,2021-10-15 03:16:09,40.71935938,-73.96279565,13,-6.000,,0.900,59,9,19,,
T,2021-10-15 03:16:10,40.71936110,-73.96277260,13,-8.000,,1.060,66,7,19,,
T,2021-10-15 03:16:11,40.71939156,-73.96275947,14,-6.000,,1.260,51,6,19,,
T,2021-10-15 03:16:12,40.71939497,-73.96272114,14,-6.000,,1.330,65,5,19,,
T,2021-10-15 03:16:13,40.71941479,-73.96270203,15,-6.000,,1.430,56,5,19,,
T,2021-10-15 03:16:14,40.71943000,-73.96267615,16,-6.000,,1.490,54,5,19,,
T,2021-10-15 03:16:15,40.71945726,-73.96265241,18,-5.000,,1.770,50,6,19,,
T,2021-10-15 03:16:16,40.71947972,-73.96258959,20,-9.000,,2.140,55,8,19,,
T,2021-10-15 03:16:17,40.71949437,-73.96253058,20,-9.000,,2.230,60,6,19,,
T,2021-10-15 03:16:18,40.71952864,-73.96251899,18,-7.000,,1.920,51,9,19,,
T,2021-10-15 03:16:19,40.71954014,-73.96248155,16,-6.000,,1.830,52,9,19,,
T,2021-10-15 03:16:20,40.71957218,-73.96247195,14,-5.000,,1.630,20,7,19,,
T,2021-10-15 03:16:21,40.71956197,-73.96244764,13,-4.000,,1.410,22,7,19,,
T,2021-10-15 03:16:22,40.71960931,-73.96243559,13,-3.000,,1.630,26,8,19,,
T,2021-10-15 03:16:23,40.71963594,-73.96242161,14,-2.000,,1.630,28,6,19,,
T,2021-10-15 03:16:24,40.71965334,-73.96241235,14,-2.000,,1.580,24,8,19,,
T,2021-10-15 03:16:25,40.71967635,-73.96240833,14,-2.000,,1.490,28,7,19,,
T,2021-10-15 03:16:26,40.71968761,-73.96239663,15,-3.000,,1.510,30,8,18,,
T,2021-10-15 03:16:27,40.71970253,-73.96239969,17,-3.000,,1.210,30,7,19,,
T,2021-10-15 03:16:29,40.71972559,-73.96238876,15,-3.000,,1.240,31,9,19,,
T,2021-10-15 03:16:30,40.71977176,-73.96236462,14,-5.000,,1.450,25,7,19,,
T,2021-10-15 03:16:31,40.71978320,-73.96236056,12,-4.000,,0.160,12,7,19,,
T,2021-10-15 03:16:33,40.71979770,-73.96235496,11,-6.000,,0.480,40,9,19,,
T,2021-10-15 03:16:34,40.71978606,-73.96234499,11,-8.000,,0.320,111,7,19,,
T,2021-10-15 03:16:36,40.71977938,-73.96233076,11,-12.000,,0.620,116,10,19,,
T,2021-10-15 03:16:37,40.71978325,-73.96232127,11,-12.000,,0.000,,10,19,,
T,2021-10-15 03:16:38,40.71977799,-73.96230927,11,-12.000,,0.520,107,11,19,,
T,2021-10-15 03:16:39,40.71979350,-73.96229654,11,-13.000,,0.810,70,11,19,,
T,2021-10-15 03:16:41,40.71979118,-73.96227046,10,-14.000,,0.730,77,10,19,,
T,2021-10-15 03:16:42,40.71978514,-73.96226856,10,-16.000,,0.000,,10,19,,
T,2021-10-15 03:16:44,40.71978358,-73.96226656,10,-16.000,,0.000,,10,19,,
T,2021-10-15 03:16:45,40.71979234,-73.96225161,10,-17.000,,0.840,52,9,19,,
T,2021-10-15 03:16:47,40.71980033,-73.96223749,10,-18.000,,0.620,38,11,19,,
T,2021-10-15 03:16:48,40.71981758,-73.96221569,10,-17.000,,0.750,26,11,19,,
T,2021-10-15 03:16:50,40.71980624,-73.96221433,10,-20.000,,0.490,79,11,19,,
T,2021-10-15 03:16:51,40.71978385,-73.96219948,10,-20.000,,0.720,126,11,19,,
T,2021-10-15 03:16:52,40.71976438,-73.96218727,10,-20.000,,0.820,120,10,19,,
T,2021-10-15 03:16:53,40.71975050,-73.96217495,11,-20.000,,1.000,128,10,19,,
T,2021-10-15 03:16:54,40.71974316,-73.96216635,10,-20.000,,0.920,111,9,19,,
T,2021-10-15 03:16:55,40.71972662,-73.96215036,10,-20.000,,0.930,126,9,19,,
T,2021-10-15 03:16:56,40.71971905,-73.96213407,10,-19.000,,1.090,122,10,19,,
T,2021-10-15 03:16:57,40.71968120,-73.96211110,10,-20.000,,1.510,140,9,19,,
T,2021-10-15 03:16:58,40.71967412,-73.96210882,10,-20.000,,0.000,,9,19,,
T,2021-10-15 03:16:59,40.71967145,-73.96210943,10,-20.000,,0.000,,9,19,,
T,2021-10-15 03:17:00,40.71965811,-73.96209625,10,-20.000,,1.220,141,9,19,,
T,2021-10-15 03:17:02,40.71964519,-73.96207805,4,-18.000,,1.030,126,8,19,,
T,2021-10-15 03:17:04,40.71964141,-73.96204933,4,-20.000,,1.360,126,10,19,,
T,2021-10-15 03:17:05,40.71962457,-73.96203381,4,-21.000,,1.060,126,10,19,,
T,2021-10-15 03:17:07,40.71960956,-73.96200997,4,-20.000,,1.180,126,9,19,,
T,2021-10-15 03:17:09,40.71960342,-73.96199719,4,-18.000,,0.520,126,9,19,,
T,2021-10-15 03:17:10,40.71959369,-73.96198563,4,-18.000,,0.600,126,10,19,,
T,2021-10-15 03:17:11,40.71957913,-73.96197240,4,-17.000,,1.060,127,10,19,,
T,2021-10-15 03:17:12,40.71956902,-73.96195604,4,-18.000,,1.010,127,10,19,,
T,2021-10-15 03:17:15,40.71958010,-73.96195652,4,-19.000,,0.400,127,10,19,,
T,2021-10-15 03:17:17,40.71958592,-73.96194293,4,-20.000,,0.390,126,9,19,,
T,2021-10-15 03:17:20,40.71958041,-73.96192081,4,-17.000,,0.610,127,10,19,,
T,2021-10-15 03:17:21,40.71959019,-73.96191455,4,-18.000,,0.710,127,9,19,,
T,2021-10-15 03:17:22,40.71958367,-73.96190448,4,-16.000,,0.850,127,10,19,,
T,2021-10-15 03:17:23,40.71958022,-73.96189067,4,-17.000,,0.640,127,9,19,,
T,2021-10-15 03:17:24,40.71957594,-73.96187916,4,-19.000,,0.700,127,11,19,,
T,2021-10-15 03:17:25,40.71956802,-73.96185554,4,-20.000,,1.260,91,10,19,,
T,2021-10-15 03:17:26,40.71955289,-73.96185064,4,-20.000,,0.840,116,10,19,,
T,2021-10-15 03:17:28,40.71953063,-73.96182909,4,-22.000,,0.840,116,9,19,,
T,2021-10-15 03:17:29,40.71951954,-73.96182022,5,-22.000,,1.000,120,9,19,,
T,2021-10-15 03:17:30,40.71950656,-73.96180246,6,-22.000,,1.110,117,9,19,,
T,2021-10-15 03:17:31,40.71949003,-73.96179140,6,-21.000,,1.030,129,9,19,,
T,2021-10-15 03:17:33,40.71947232,-73.96177100,6,-21.000,,1.130,128,10,19,,
T,2021-10-15 03:17:34,40.71946138,-73.96175980,6,-21.000,,0.970,129,9,19,,
T,2021-10-15 03:17:35,40.71944988,-73.96174928,7,-20.000,,0.830,130,9,19,,
T,2021-10-15 03:17:36,40.71944082,-73.96174689,7,-19.000,,0.670,124,8,19,,
T,2021-10-15 03:17:37,40.71942819,-73.96175070,7,-19.000,,1.140,140,9,19,,
T,2021-10-15 03:17:38,40.71941373,-73.96173828,7,-19.000,,1.240,134,11,19,,
T,2021-10-15 03:17:40,40.71941454,-73.96172473,6,-17.000,,0.410,130,9,19,,
T,2021-10-15 03:17:41,40.71940079,-73.96172062,6,-15.000,,0.810,141,11,19,,
T,2021-10-15 03:17:43,40.71938664,-73.96172336,6,-13.000,,0.800,120,10,20,,
T,2021-10-15 03:17:44,40.71937340,-73.96170583,6,-13.000,,0.760,136,10,20,,
T,2021-10-15 03:17:45,40.71936062,-73.96168341,6,-13.000,,1.010,131,9,20,,
T,2021-10-15 03:17:46,40.71935232,-73.96166186,5,-10.000,,1.170,130,10,20,,
T,2021-10-15 03:17:47,40.71935366,-73.96166192,5,-11.000,,0.520,130,9,20,,
T,2021-10-15 03:17:48,40.71935073,-73.96166012,5,-10.000,,0.000,,10,20,,
T,2021-10-15 03:17:51,40.71934173,-73.96165638,5,-8.000,,0.000,,10,20,,
T,2021-10-15 03:17:53,40.71933149,-73.96164832,6,-8.000,,0.000,,9,20,,
T,2021-10-15 03:17:55,40.71932027,-73.96163867,6,-7.000,,0.000,,9,20,,
T,2021-10-15 03:17:57,40.71931474,-73.96163322,5,-7.000,,0.000,,8,20,,
T,2021-10-15 03:17:58,40.71929738,-73.96161731,5,-6.000,,0.830,123,9,20,,
T,2021-10-15 03:17:59,40.71927680,-73.96158724,5,-5.000,,1.100,115,10,20,,
T,2021-10-15 03:18:00,40.71925887,-73.96157820,6,-3.000,,1.090,128,11,20,,
T,2021-10-15 03:18:01,40.71924081,-73.96155079,7,-1.000,,1.440,127,9,20,,
T,2021-10-15 03:18:02,40.71923773,-73.96153844,8,-2.000,,1.340,125,9,20,,
T,2021-10-15 03:18:03,40.71922891,-73.96152005,10,-1.000,,1.360,126,9,20,,
T,2021-10-15 03:18:04,40.71921660,-73.96151614,8,-1.000,,1.610,130,9,20,,
T,2021-10-15 03:18:05,40.71923368,-73.96149325,7,-3.000,,0.810,124,10,20,,
T,2021-10-15 03:18:06,40.71921149,-73.96146932,11,-2.000,,1.020,125,9,19,,
T,2021-10-15 03:18:08,40.71918501,-73.96145219,10,-1.000,,0.830,139,10,19,,
T,2021-10-15 03:18:09,40.71917814,-73.96142504,10,1.000,,0.820,119,9,20,,
T,2021-10-15 03:18:11,40.71916381,-73.96139626,11,1.000,,1.000,124,9,20,,
T,2021-10-15 03:18:12,40.71914322,-73.96137676,11,2.000,,1.320,132,8,20,,
T,2021-10-15 03:18:13,40.71912540,-73.96136386,11,-1.000,,1.490,136,10,20,,
T,2021-10-15 03:18:14,40.71911508,-73.96137014,12,-3.000,,1.270,148,8,20,,
T,2021-10-15 03:18:15,40.71908984,-73.96133053,11,-3.000,,1.610,132,9,20,,
T,2021-10-15 03:18:16,40.71907459,-73.96130490,11,-4.000,,1.490,130,9,20,,
T,2021-10-15 03:18:17,40.71909575,-73.96131869,10,-7.000,,0.820,117,10,20,,
T,2021-10-15 03:18:18,40.71907782,-73.96127399,10,-7.000,,1.290,128,10,20,,
T,2021-10-15 03:18:19,40.71909256,-73.96127508,10,-7.000,,0.000,,9,20,,
T,2021-10-15 03:18:20,40.71909153,-73.96126463,10,-8.000,,0.000,,10,20,,
T,2021-10-15 03:18:21,40.71909296,-73.96125682,10,-8.000,,0.720,130,10,20,,
T,2021-10-15 03:18:22,40.71909883,-73.96125226,10,-8.000,,0.000,,10,20,,
T,2021-10-15 03:18:23,40.71910112,-73.96124852,10,-9.000,,0.000,,10,20,,
T,2021-10-15 03:18:24,40.71909328,-73.96123394,10,-10.000,,0.590,141,10,20,,
T,2021-10-15 03:18:25,40.71908136,-73.96120922,10,-9.000,,0.910,124,10,20,,
T,2021-10-15 03:18:26,40.71905893,-73.96117697,10,-7.000,,1.060,144,10,20,,
T,2021-10-15 03:18:28,40.71905415,-73.96115065,10,-9.000,,1.190,144,10,20,,
T,2021-10-15 03:18:29,40.71904472,-73.96113031,10,-9.000,,1.130,144,9,20,,
T,2021-10-15 03:18:30,40.71903661,-73.96111829,10,-9.000,,1.190,144,10,20,,
T,2021-10-15 03:18:31,40.71902591,-73.96110588,10,-10.000,,1.200,144,9,20,,
T,2021-10-15 03:18:32,40.71901425,-73.96109092,10,-10.000,,1.290,144,9,20,,
T,2021-10-15 03:18:33,40.71899803,-73.96107424,10,-10.000,,1.210,144,8,20,,
T,2021-10-15 03:18:34,40.71899583,-73.96106212,10,-11.000,,1.120,144,7,20,,
T,2021-10-15 03:18:35,40.71899604,-73.96104619,4,-13.000,,1.170,144,9,19,,
T,2021-10-15 03:18:36,40.71898654,-73.96103083,4,-14.000,,1.160,144,9,20,,
T,2021-10-15 03:18:37,40.71897821,-73.96100849,4,-14.000,,1.420,126,9,20,,
T,2021-10-15 03:18:38,40.71898752,-73.96101392,4,-17.000,,0.980,144,9,20,,
T,2021-10-15 03:18:42,40.71899670,-73.96100231,4,-21.000,,0.610,144,12,20,,
T,2021-10-15 03:18:45,40.71898656,-73.96098458,7,-19.000,,0.590,144,10,20,,
T,2021-10-15 03:18:46,40.71896532,-73.96097641,8,-18.000,,0.850,144,10,20,,
T,2021-10-15 03:18:47,40.71893748,-73.96096185,10,-18.000,,1.440,148,12,20,,
T,2021-10-15 03:18:48,40.71894988,-73.96098804,8,-18.000,,0.350,144,10,20,,
T,2021-10-15 03:18:49,40.71893763,-73.96098785,7,-17.000,,0.570,127,12,20,,
T,2021-10-15 03:18:51,40.71890918,-73.96098485,6,-19.000,,0.980,132,10,20,,
T,2021-10-15 03:18:52,40.71892604,-73.96100400,7,-20.000,,0.280,144,12,20,,
T,2021-10-15 03:18:53,40.71889498,-73.96096352,6,-20.000,,1.620,131,10,21,,
T,2021-10-15 03:18:54,40.71887990,-73.96095678,5,-20.000,,1.270,128,10,21,,
T,2021-10-15 03:18:55,40.71888017,-73.96093891,5,-21.000,,0.800,122,9,21,,
T,2021-10-15 03:18:56,40.71886814,-73.96091088,5,-22.000,,0.790,126,9,21,,
T,2021-10-15 03:18:57,40.71885979,-73.96089771,5,-22.000,,0.840,130,9,21,,
T,2021-10-15 03:18:58,40.71885057,-73.96087297,5,-22.000,,1.250,122,9,21,,
T,2021-10-15 03:18:59,40.71883902,-73.96085793,5,-22.000,,1.190,126,9,21,,
T,2021-10-15 03:19:00,40.71882891,-73.96084251,5,-23.000,,1.280,122,9,21,,
T,2021-10-15 03:19:01,40.71881638,-73.96082333,5,-21.000,,1.170,124,9,21,,
T,2021-10-15 03:19:02,40.71880548,-73.96079912,5,-20.000,,1.090,108,10,21,,
T,2021-10-15 03:19:03,40.71879020,-73.96078230,6,-20.000,,1.270,121,11,21,,
T,2021-10-15 03:19:04,40.71879628,-73.96079117,5,-22.000,,0.590,99,11,21,,
