type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-21 21:28:31,40.74102738,-73.98978439,57,-15.000,,8.910,198,4,23,20210921-172831,GPS Logger: 20210921-172831
T,2021-09-21 21:28:32,40.74096032,-73.98983007,66,-13.000,,9.300,200,4,23,,
T,2021-09-21 21:28:33,40.74089386,-73.98983369,63,-6.000,,9.430,197,3,23,,
T,2021-09-21 21:28:34,40.74084993,-73.98990369,60,0.000,,9.390,199,3,23,,
T,2021-09-21 21:28:35,40.74079434,-73.98993022,61,10.000,,9.490,198,4,23,,
T,2021-09-21 21:28:36,40.74070591,-73.98999671,66,12.000,,9.620,200,5,23,,
T,2021-09-21 21:28:37,40.74065837,-73.98996061,49,25.000,,8.920,199,5,23,,
T,2021-09-21 21:28:38,40.74050037,-73.99002570,41,11.000,,8.350,193,6,23,,
T,2021-09-21 21:28:39,40.74041205,-73.99003493,38,8.000,,8.410,191,5,23,,
T,2021-09-21 21:28:40,40.74034501,-73.99005844,37,7.000,,7.880,193,5,23,,
T,2021-09-21 21:28:41,40.74027170,-73.99008261,36,3.000,,7.680,193,4,23,,
T,2021-09-21 21:28:42,40.74012221,-73.99016194,40,-16.000,,7.860,194,4,23,,
T,2021-09-21 21:28:43,40.74007928,-73.99017336,42,-14.000,,6.570,196,4,23,,
T,2021-09-21 21:28:44,40.74001502,-73.99023814,46,-18.000,,5.880,201,3,23,,
T,2021-09-21 21:28:45,40.73995592,-73.99028888,55,-16.000,,6.090,202,3,23,,
T,2021-09-21 21:28:46,40.73990434,-73.99035733,65,-15.000,,6.350,205,4,23,,
T,2021-09-21 21:28:47,40.73984785,-73.99044072,76,-10.000,,6.850,208,3,23,,
T,2021-09-21 21:28:48,40.73979864,-73.99050303,77,-7.000,,7.020,210,4,23,,
T,2021-09-21 21:28:49,40.73975512,-73.99058883,78,-5.000,,7.170,212,4,23,,
T,2021-09-21 21:28:50,40.73965203,-73.99039330,75,4.000,,7.030,199,5,23,,
T,2021-09-21 21:28:51,40.73957917,-73.99045599,88,6.000,,7.470,201,4,23,,
T,2021-09-21 21:28:52,40.73951391,-73.99053013,96,9.000,,7.810,203,6,23,,
T,2021-09-21 21:28:53,40.73946539,-73.99058531,104,11.000,,7.700,204,4,23,,
T,2021-09-21 21:28:54,40.73947756,-73.99107765,78,8.000,,9.040,224,3,23,,
T,2021-09-21 21:28:55,40.73950141,-73.99136717,59,15.000,,9.610,234,3,23,,
T,2021-09-21 21:28:56,40.73944826,-73.99137251,63,22.000,,9.070,231,4,23,,
T,2021-09-21 21:28:57,40.73941088,-73.99146460,54,23.000,,8.890,232,4,23,,
T,2021-09-21 21:28:58,40.73935317,-73.99144796,51,25.000,,8.170,227,5,23,,
T,2021-09-21 21:28:59,40.73924787,-73.99142485,53,23.000,,7.980,218,4,23,,
T,2021-09-21 21:29:00,40.73917579,-73.99141493,56,30.000,,7.720,212,5,23,,
T,2021-09-21 21:29:01,40.73916393,-73.99138888,50,43.000,,6.780,209,5,23,,
T,2021-09-21 21:29:02,40.73906162,-73.99137270,47,47.000,,7.200,201,4,23,,
T,2021-09-21 21:29:03,40.73900473,-73.99158789,45,36.000,,7.700,218,4,22,,
T,2021-09-21 21:29:04,40.73893246,-73.99164632,42,38.000,,7.960,216,4,22,,
T,2021-09-21 21:29:05,40.73885959,-73.99179836,41,27.000,,8.520,223,4,23,,
T,2021-09-21 21:29:06,40.73876782,-73.99177504,40,32.000,,8.400,214,4,23,,
T,2021-09-21 21:29:07,40.73871065,-73.99183509,44,35.000,,8.370,214,4,23,,
T,2021-09-21 21:29:08,40.73860563,-73.99188384,48,32.000,,8.690,212,5,23,,
T,2021-09-21 21:29:09,40.73855277,-73.99194329,53,36.000,,8.500,213,3,23,,
T,2021-09-21 21:29:10,40.73843668,-73.99198787,59,31.000,,8.900,211,3,23,,
T,2021-09-21 21:29:11,40.73838479,-73.99203816,64,32.000,,8.570,211,3,22,,
T,2021-09-21 21:29:12,40.73833494,-73.99217108,61,27.000,,8.630,216,3,22,,
T,2021-09-21 21:29:13,40.73833510,-73.99219658,56,43.000,,8.110,217,3,23,,
T,2021-09-21 21:29:14,40.73824437,-73.99235616,50,32.000,,8.820,221,4,23,,
T,2021-09-21 21:29:16,40.73822535,-73.99240552,52,49.000,,7.770,221,5,23,,
T,2021-09-21 21:29:17,40.73814156,-73.99246448,54,50.000,,8.250,219,5,23,,
T,2021-09-21 21:29:18,40.73802560,-73.99253057,53,46.000,,9.070,216,4,22,,
T,2021-09-21 21:29:19,40.73794907,-73.99259754,56,48.000,,9.340,215,3,22,,
T,2021-09-21 21:29:20,40.73782541,-73.99258676,52,50.000,,9.680,209,4,22,,
T,2021-09-21 21:29:21,40.73775762,-73.99277240,41,42.000,,10.000,216,3,22,,
T,2021-09-21 21:29:22,40.73745081,-73.99274474,41,3.000,,11.350,205,4,22,,
T,2021-09-21 21:29:23,40.73714545,-73.99275193,40,-38.000,,12.880,199,5,21,,
T,2021-09-21 21:29:24,40.73705310,-73.99280587,38,-40.000,,12.530,200,5,22,,
T,2021-09-21 21:29:25,40.73702902,-73.99287307,41,-30.000,,11.620,202,4,22,,
T,2021-09-21 21:29:26,40.73697170,-73.99325607,42,-51.000,,12.460,218,4,22,,
T,2021-09-21 21:29:27,40.73689639,-73.99321192,40,-33.000,,11.240,213,4,22,,
T,2021-09-21 21:29:28,40.73680436,-73.99323875,42,-31.000,,11.330,210,6,22,,
T,2021-09-21 21:29:29,40.73677662,-73.99327709,35,-21.000,,10.490,211,6,22,,
T,2021-09-21 21:29:30,40.73675991,-73.99327666,35,-22.000,,8.920,211,6,22,,
T,2021-09-21 21:29:31,40.73668209,-73.99334477,36,-22.000,,9.210,211,6,22,,
T,2021-09-21 21:29:32,40.73659799,-73.99347497,34,-20.000,,9.960,214,3,22,,
T,2021-09-21 21:29:33,40.73650971,-73.99354092,36,-22.000,,10.090,214,3,22,,
T,2021-09-21 21:29:34,40.73643636,-73.99358497,37,-24.000,,9.710,213,4,22,,
T,2021-09-21 21:29:35,40.73635538,-73.99361966,33,-22.000,,9.600,211,6,22,,
T,2021-09-21 21:29:36,40.73626265,-73.99369828,36,-16.000,,10.000,212,6,22,,
T,2021-09-21 21:29:37,40.73622553,-73.99379906,29,-10.000,,9.840,218,6,22,,
T,2021-09-21 21:29:38,40.73610610,-73.99374677,27,-11.000,,9.780,209,6,23,,
T,2021-09-21 21:29:39,40.73604010,-73.99371574,23,-2.000,,9.320,205,6,23,,
T,2021-09-21 21:29:40,40.73602709,-73.99366877,24,5.000,,7.870,201,6,23,,
T,2021-09-21 21:29:41,40.73588335,-73.99375493,28,-5.000,,9.080,201,7,22,,
T,2021-09-21 21:29:42,40.73587021,-73.99378941,34,2.000,,8.020,204,6,22,,
T,2021-09-21 21:29:43,40.73582831,-73.99382350,40,4.000,,7.560,206,4,22,,
T,2021-09-21 21:29:44,40.73572992,-73.99400383,43,-10.000,,8.780,213,3,22,,
T,2021-09-21 21:29:45,40.73563142,-73.99408588,41,1.000,,9.830,213,3,22,,
T,2021-09-21 21:29:46,40.73550327,-73.99416178,32,-1.000,,10.840,211,6,22,,
T,2021-09-21 21:29:47,40.73543390,-73.99424971,30,-3.000,,10.000,212,6,22,,
T,2021-09-21 21:29:48,40.73535771,-73.99433860,26,2.000,,10.890,214,6,21,,
T,2021-09-21 21:29:49,40.73529298,-73.99438389,24,4.000,,10.520,210,5,22,,
T,2021-09-21 21:29:50,40.73524009,-73.99440368,23,6.000,,10.000,210,6,22,,
T,2021-09-21 21:29:51,40.73515263,-73.99441312,21,8.000,,9.880,206,6,22,,
T,2021-09-21 21:29:52,40.73506853,-73.99454562,19,3.000,,9.450,207,4,22,,
T,2021-09-21 21:29:53,40.73500733,-73.99460760,17,3.000,,8.570,210,4,22,,
T,2021-09-21 21:29:54,40.73494921,-73.99469239,14,0.000,,7.730,212,4,22,,
T,2021-09-21 21:29:55,40.73491246,-73.99471584,15,4.000,,7.100,212,5,22,,
T,2021-09-21 21:29:56,40.73485328,-73.99475224,14,1.000,,6.470,212,5,22,,
T,2021-09-21 21:29:57,40.73477069,-73.99479026,15,-5.000,,6.430,210,5,22,,
T,2021-09-21 21:29:58,40.73471277,-73.99481797,17,-5.000,,6.460,210,5,22,,
T,2021-09-21 21:29:59,40.73464274,-73.99483755,19,-6.000,,6.560,207,5,22,,
T,2021-09-21 21:30:00,40.73461480,-73.99484264,23,-5.000,,5.770,206,4,22,,
T,2021-09-21 21:30:01,40.73458313,-73.99483045,26,-4.000,,5.270,201,4,22,,
T,2021-09-21 21:30:02,40.73453627,-73.99484419,24,-4.000,,5.210,200,4,22,,
T,2021-09-21 21:30:03,40.73450363,-73.99498535,24,-9.000,,5.560,219,6,22,,
T,2021-09-21 21:30:04,40.73451451,-73.99499369,20,-6.000,,3.780,213,5,22,,
T,2021-09-21 21:30:05,40.73446239,-73.99499130,19,-8.000,,3.670,210,5,22,,
T,2021-09-21 21:30:06,40.73440220,-73.99496878,19,-12.000,,3.530,202,5,22,,
T,2021-09-21 21:30:07,40.73438050,-73.99493865,21,-18.000,,2.420,194,6,22,,
T,2021-09-21 21:30:08,40.73436751,-73.99502540,22,-21.000,,2.560,223,6,20,,
T,2021-09-21 21:30:09,40.73434692,-73.99507466,22,-26.000,,2.580,234,5,22,,
T,2021-09-21 21:30:10,40.73436465,-73.99503455,22,-29.000,,0.000,,5,22,,
T,2021-09-21 21:30:11,40.73436591,-73.99503310,23,-30.000,,0.000,,5,22,,
T,2021-09-21 21:30:12,40.73439930,-73.99509688,27,-31.000,,1.960,291,5,22,,
T,2021-09-21 21:30:13,40.73439943,-73.99516785,28,-36.000,,2.590,288,5,22,,
T,2021-09-21 21:30:14,40.73436854,-73.99521762,28,-40.000,,2.680,273,5,22,,
T,2021-09-21 21:30:15,40.73435658,-73.99515472,23,-42.000,,0.000,,5,20,,
T,2021-09-21 21:30:16,40.73435995,-73.99513464,22,-42.000,,0.000,,5,20,,
T,2021-09-21 21:30:17,40.73435613,-73.99514596,21,-42.000,,0.000,,6,21,,
T,2021-09-21 21:30:18,40.73435837,-73.99512282,20,-41.000,,0.000,,5,21,,
T,2021-09-21 21:30:20,40.73434785,-73.99511242,17,-42.000,,0.000,,5,21,,
T,2021-09-21 21:30:21,40.73434073,-73.99510323,16,-42.000,,0.000,,5,21,,
T,2021-09-21 21:30:22,40.73430931,-73.99511406,20,-42.000,,1.110,160,6,21,,
T,2021-09-21 21:30:23,40.73429013,-73.99507264,20,-42.000,,1.510,144,5,21,,
T,2021-09-21 21:30:24,40.73433089,-73.99503603,22,-41.000,,1.030,85,5,21,,
T,2021-09-21 21:30:25,40.73433944,-73.99501520,24,-41.000,,0.980,66,5,21,,
T,2021-09-21 21:30:26,40.73434276,-73.99500685,26,-41.000,,0.850,65,3,21,,
T,2021-09-21 21:30:27,40.73432763,-73.99503681,23,-41.000,,0.000,,3,21,,
