type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-14 01:52:52,40.69996948,-73.91412128,10,41.000,,0.000,,9,19,20211013-215252,GPS Logger: 20211013-215252
T,2021-10-14 01:52:53,40.69998237,-73.91410023,10,41.000,,0.000,,9,19,,
T,2021-10-14 01:52:54,40.69998374,-73.91406255,10,39.000,,0.000,,10,19,,
T,2021-10-14 01:52:55,40.69999315,-73.91404068,10,38.000,,0.000,,9,19,,
T,2021-10-14 01:52:56,40.70002012,-73.91400881,10,33.000,,0.920,58,9,19,,
T,2021-10-14 01:53:00,40.70002783,-73.91398692,10,30.000,,0.790,46,7,20,,
T,2021-10-14 01:53:01,40.70003759,-73.91397171,10,31.000,,1.230,10,7,20,,
T,2021-10-14 01:53:02,40.70004943,-73.91395912,10,29.000,,1.270,26,8,20,,
T,2021-10-14 01:53:03,40.70005866,-73.91394590,9,30.000,,1.340,30,8,21,,
T,2021-10-14 01:53:04,40.70007522,-73.91393380,9,29.000,,1.210,26,8,21,,
T,2021-10-14 01:53:05,40.70008513,-73.91391324,9,29.000,,0.390,121,8,21,,
T,2021-10-14 01:53:07,40.70009266,-73.91389701,9,31.000,,0.410,31,8,21,,
T,2021-10-14 01:53:09,40.70009253,-73.91387702,10,32.000,,0.250,121,8,21,,
T,2021-10-14 01:53:11,40.70010245,-73.91386436,10,32.000,,0.270,38,8,21,,
T,2021-10-14 01:53:12,40.70010882,-73.91386069,10,33.000,,0.000,,6,21,,
T,2021-10-14 01:53:13,40.70012112,-73.91386616,10,32.000,,0.220,8,6,21,,
T,2021-10-14 01:53:14,40.70012711,-73.91386410,10,32.000,,0.000,,6,21,,
T,2021-10-14 01:53:15,40.70014520,-73.91386389,10,32.000,,0.650,55,7,21,,
T,2021-10-14 01:53:16,40.70016454,-73.91385258,11,33.000,,0.820,47,7,21,,
T,2021-10-14 01:53:17,40.70017320,-73.91384069,11,34.000,,1.070,44,8,21,,
T,2021-10-14 01:53:18,40.70019693,-73.91384197,12,34.000,,1.220,10,8,21,,
T,2021-10-14 01:53:19,40.70020974,-73.91382508,13,34.000,,1.150,23,7,21,,
