type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-11-17 17:12:21,40.76150014,-73.98420560,51,298.000,,0.000,,5,20,20211117-121221,GPS Logger: 20211117-121221 - Nov 17-2
T,2021-11-17 17:12:23,40.76148814,-73.98420927,55,298.000,,0.000,,5,20,,
T,2021-11-17 17:12:25,40.76147350,-73.98421550,56,297.000,,0.000,,5,20,,
T,2021-11-17 17:12:27,40.76146093,-73.98422022,54,297.000,,0.000,,7,20,,
T,2021-11-17 17:12:28,40.76145099,-73.98422381,54,296.000,,0.000,,8,20,,
T,2021-11-17 17:12:29,40.76139760,-73.98423755,62,295.000,,4.000,196,8,20,,
T,2021-11-17 17:12:30,40.76148494,-73.98418880,57,294.000,,0.000,,6,20,,
T,2021-11-17 17:12:31,40.76153106,-73.98415560,57,292.000,,0.000,,6,20,,
T,2021-11-17 17:12:32,40.76128291,-73.98420635,53,277.000,,0.000,,6,20,,
T,2021-11-17 17:12:33,40.76122738,-73.98420354,52,274.000,,0.000,,8,20,,
T,2021-11-17 17:12:34,40.76101428,-73.98427250,53,263.000,,0.000,,8,20,,
T,2021-11-17 17:12:35,40.76085535,-73.98431595,51,258.000,,1.590,199,7,20,,
T,2021-11-17 17:12:36,40.76086069,-73.98428528,51,258.000,,1.170,194,7,20,,
T,2021-11-17 17:12:37,40.76083332,-73.98428617,53,257.000,,1.050,189,5,20,,
T,2021-11-17 17:12:38,40.76088154,-73.98424386,43,256.000,,0.000,,5,20,,
T,2021-11-17 17:12:39,40.76089084,-73.98423263,40,255.000,,0.000,,6,20,,
T,2021-11-17 17:12:40,40.76090065,-73.98422487,39,254.000,,0.000,,6,20,,
T,2021-11-17 17:12:41,40.76089596,-73.98423124,39,253.000,,0.000,,6,20,,
T,2021-11-17 17:12:42,40.76085677,-73.98423973,39,254.000,,0.490,268,7,20,,
T,2021-11-17 17:12:43,40.76082504,-73.98423796,41,255.000,,0.440,256,7,20,,
T,2021-11-17 17:12:44,40.76077999,-73.98424825,41,255.000,,0.820,244,6,20,,
T,2021-11-17 17:12:45,40.76072265,-73.98425660,43,256.000,,1.010,212,6,20,,
T,2021-11-17 17:12:46,40.76066599,-73.98425703,46,257.000,,1.230,192,7,20,,
T,2021-11-17 17:12:47,40.76061215,-73.98426869,49,257.000,,1.530,208,7,20,,
T,2021-11-17 17:12:48,40.76059375,-73.98428664,52,256.000,,1.570,222,7,20,,
T,2021-11-17 17:12:49,40.76057859,-73.98430418,56,255.000,,1.550,225,7,21,,
T,2021-11-17 17:12:50,40.76050150,-73.98433577,57,255.000,,2.020,226,7,21,,
T,2021-11-17 17:12:51,40.76044342,-73.98436016,59,254.000,,2.020,227,6,20,,
T,2021-11-17 17:12:52,40.76038721,-73.98437997,59,253.000,,1.960,231,6,21,,
T,2021-11-17 17:12:53,40.76030568,-73.98440901,62,251.000,,2.420,224,7,21,,
T,2021-11-17 17:12:54,40.76026891,-73.98443528,63,251.000,,2.310,229,6,21,,
T,2021-11-17 17:12:55,40.75992825,-73.98456015,59,238.000,,3.640,213,6,21,,
T,2021-11-17 17:12:56,40.75990465,-73.98457538,59,237.000,,2.810,213,5,21,,
T,2021-11-17 17:12:57,40.75980668,-73.98461963,57,231.000,,1.770,242,7,21,,
T,2021-11-17 17:12:58,40.75972362,-73.98465362,57,228.000,,0.830,244,7,21,,
T,2021-11-17 17:12:59,40.75967203,-73.98468294,60,226.000,,0.840,246,8,21,,
T,2021-11-17 17:13:00,40.75965893,-73.98469643,63,226.000,,0.890,247,8,21,,
T,2021-11-17 17:13:01,40.75964078,-73.98472012,67,225.000,,1.140,259,5,21,,
T,2021-11-17 17:13:02,40.75960930,-73.98475226,67,224.000,,1.100,277,6,22,,
T,2021-11-17 17:13:03,40.75959962,-73.98477308,71,223.000,,1.270,283,6,22,,
T,2021-11-17 17:13:04,40.75959129,-73.98478111,75,222.000,,0.660,285,8,22,,
T,2021-11-17 17:13:05,40.75954664,-73.98482599,73,221.000,,1.150,285,6,22,,
T,2021-11-17 17:13:06,40.75944090,-73.98488956,69,218.000,,0.960,254,8,22,,
T,2021-11-17 17:13:07,40.75941877,-73.98491313,63,217.000,,0.810,291,8,22,,
T,2021-11-17 17:13:08,40.75937875,-73.98492891,40,217.000,,0.000,,6,22,,
T,2021-11-17 17:13:09,40.75937845,-73.98494689,41,216.000,,0.610,294,6,22,,
T,2021-11-17 17:13:10,40.75936580,-73.98496674,42,216.000,,0.690,266,9,22,,
T,2021-11-17 17:13:11,40.75936062,-73.98498533,44,216.000,,0.860,277,8,22,,
T,2021-11-17 17:13:12,40.75935431,-73.98500263,44,215.000,,0.930,291,8,22,,
T,2021-11-17 17:13:13,40.75929547,-73.98502501,43,211.000,,1.000,283,7,22,,
T,2021-11-17 17:13:14,40.75923414,-73.98504579,42,206.000,,0.960,275,8,22,,
T,2021-11-17 17:13:15,40.75921323,-73.98507135,41,205.000,,1.010,288,9,22,,
T,2021-11-17 17:13:16,40.75919156,-73.98507667,43,203.000,,0.530,341,9,22,,
T,2021-11-17 17:13:17,40.75918599,-73.98508876,42,202.000,,0.600,333,9,22,,
T,2021-11-17 17:13:18,40.75917373,-73.98511359,43,201.000,,0.920,318,8,21,,
T,2021-11-17 17:13:19,40.75915790,-73.98513425,40,200.000,,0.800,308,4,22,,
T,2021-11-17 17:13:20,40.75913481,-73.98513646,37,202.000,,0.260,27,8,22,,
T,2021-11-17 17:13:21,40.75910445,-73.98514912,36,204.000,,0.270,323,7,22,,
T,2021-11-17 17:13:22,40.75908376,-73.98516945,35,203.000,,0.400,325,7,22,,
T,2021-11-17 17:13:23,40.75907430,-73.98518695,33,202.000,,0.630,322,7,23,,
T,2021-11-17 17:13:24,40.75907268,-73.98520583,32,199.000,,0.780,316,7,23,,
T,2021-11-17 17:13:25,40.75905593,-73.98521049,32,200.000,,0.380,299,6,23,,
T,2021-11-17 17:13:26,40.75907602,-73.98518689,34,198.000,,0.530,343,7,23,,
T,2021-11-17 17:13:27,40.75909533,-73.98517579,34,197.000,,0.860,356,7,23,,
T,2021-11-17 17:13:29,40.75910462,-73.98519621,36,194.000,,0.610,346,6,23,,
T,2021-11-17 17:13:30,40.75908741,-73.98520906,36,194.000,,0.000,,6,23,,
T,2021-11-17 17:13:31,40.75909528,-73.98523668,37,194.000,,0.550,350,7,23,,
T,2021-11-17 17:13:33,40.75909620,-73.98525115,40,194.000,,0.360,360,8,23,,
T,2021-11-17 17:13:34,40.75910259,-73.98527305,42,195.000,,1.040,351,7,23,,
T,2021-11-17 17:13:35,40.75908875,-73.98531807,42,193.000,,1.360,302,5,23,,
T,2021-11-17 17:13:37,40.75907908,-73.98534949,50,191.000,,0.240,15,6,23,,
T,2021-11-17 17:13:38,40.75906945,-73.98538234,55,192.000,,0.230,353,2,23,,
T,2021-11-17 17:13:39,40.75906572,-73.98541977,64,190.000,,0.580,314,2,23,,
T,2021-11-17 17:13:40,40.75906401,-73.98546041,70,190.000,,0.830,302,4,23,,
T,2021-11-17 17:13:41,40.75905205,-73.98550367,78,190.000,,1.090,291,4,23,,
T,2021-11-17 17:13:42,40.75904731,-73.98553839,87,190.000,,1.070,288,5,23,,
T,2021-11-17 17:13:43,40.75905323,-73.98555786,99,190.000,,0.940,290,4,23,,
T,2021-11-17 17:13:44,40.75900565,-73.98561435,106,189.000,,1.100,256,3,23,,
