type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-15 21:45:54,40.71747800,-73.99910534,20,-8.000,,0.740,279,10,22,20210915-174554,GPS Logger: 20210915-174554
T,2021-09-15 21:45:55,40.71744578,-73.99913414,17,-8.000,,1.180,288,10,22,,
T,2021-09-15 21:45:56,40.71745025,-73.99914435,14,-9.000,,1.390,295,10,22,,
T,2021-09-15 21:45:57,40.71746316,-73.99917830,10,-11.000,,2.040,318,9,22,,
T,2021-09-15 21:45:58,40.71745588,-73.99922953,10,-14.000,,2.090,318,9,22,,
T,2021-09-15 21:45:59,40.71746548,-73.99924279,11,-14.000,,1.980,319,10,22,,
T,2021-09-15 21:46:00,40.71746224,-73.99926775,12,-15.000,,1.790,318,10,22,,
T,2021-09-15 21:46:01,40.71747228,-73.99927130,13,-15.000,,1.640,318,7,22,,
T,2021-09-15 21:46:02,40.71745848,-73.99930871,15,-16.000,,1.240,317,8,22,,
T,2021-09-15 21:46:03,40.71746930,-73.99931002,15,-17.000,,1.130,317,8,22,,
T,2021-09-15 21:46:04,40.71745430,-73.99935180,13,-20.000,,1.020,290,9,22,,
T,2021-09-15 21:46:05,40.71752378,-73.99930759,10,-22.000,,0.330,318,9,22,,
T,2021-09-15 21:46:06,40.71755189,-73.99928166,10,-22.000,,0.000,,9,22,,
T,2021-09-15 21:46:07,40.71755499,-73.99928813,10,-23.000,,0.000,,10,22,,
T,2021-09-15 21:46:08,40.71756273,-73.99928071,11,-22.000,,0.000,,10,22,,
T,2021-09-15 21:46:09,40.71756661,-73.99927904,11,-22.000,,0.000,,10,22,,
T,2021-09-15 21:46:10,40.71757285,-73.99927582,11,-22.000,,0.000,,9,22,,
T,2021-09-15 21:46:11,40.71756944,-73.99927850,12,-22.000,,0.000,,10,22,,
T,2021-09-15 21:46:12,40.71756512,-73.99928428,12,-22.000,,0.000,,8,22,,
T,2021-09-15 21:46:13,40.71757366,-73.99927711,12,-22.000,,0.000,,6,22,,
T,2021-09-15 21:46:14,40.71757205,-73.99927561,12,-22.000,,0.000,,9,22,,
T,2021-09-15 21:46:15,40.71757010,-73.99927655,12,-22.000,,0.000,,9,22,,
T,2021-09-15 21:46:16,40.71757270,-73.99927498,11,-22.000,,0.000,,8,22,,
T,2021-09-15 21:46:17,40.71757101,-73.99927520,12,-22.000,,0.000,,8,22,,
T,2021-09-15 21:46:18,40.71756941,-73.99927707,12,-22.000,,0.000,,9,22,,
T,2021-09-15 21:46:19,40.71756845,-73.99927795,12,-22.000,,0.000,,9,22,,
