type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-16 17:04:50,40.72594488,-73.99736794,21,65.000,,0.000,,5,19,20211016-130450,GPS Logger: 20211016-130450
T,2021-10-16 17:04:51,40.72594565,-73.99735270,20,63.000,,0.000,,5,19,,
T,2021-10-16 17:04:55,40.72592965,-73.99735410,16,63.000,,0.000,,6,19,,
T,2021-10-16 17:04:56,40.72592046,-73.99735079,14,63.000,,0.000,,6,19,,
T,2021-10-16 17:04:57,40.72593041,-73.99735291,13,63.000,,0.000,,6,19,,
T,2021-10-16 17:05:05,40.72593651,-73.99734109,17,61.000,,0.000,,5,19,,
T,2021-10-16 17:05:19,40.72591356,-73.99733500,27,64.000,,0.000,,3,19,,
T,2021-10-16 17:05:21,40.72590332,-73.99733289,26,66.000,,0.000,,5,19,,
T,2021-10-16 17:05:24,40.72589356,-73.99733057,21,68.000,,0.000,,8,19,,
T,2021-10-16 17:05:26,40.72588751,-73.99731547,16,65.000,,0.000,,8,19,,
T,2021-10-16 17:05:29,40.72588158,-73.99730337,14,64.000,,0.000,,8,19,,
T,2021-10-16 17:05:37,40.72587906,-73.99729118,13,62.000,,0.000,,8,19,,
T,2021-10-16 17:05:41,40.72587463,-73.99727941,13,60.000,,0.000,,7,19,,
T,2021-10-16 17:05:45,40.72586796,-73.99726781,14,59.000,,0.000,,8,19,,
T,2021-10-16 17:05:49,40.72584014,-73.99725277,15,58.000,,0.000,,8,19,,
T,2021-10-16 17:05:50,40.72581795,-73.99724389,14,57.000,,0.000,,8,19,,
T,2021-10-16 17:05:51,40.72580778,-73.99723476,14,56.000,,0.000,,8,19,,
T,2021-10-16 17:05:52,40.72579445,-73.99722788,14,56.000,,0.000,,8,19,,
T,2021-10-16 17:05:53,40.72578631,-73.99721940,14,55.000,,0.000,,9,19,,
T,2021-10-16 17:05:55,40.72577126,-73.99720816,14,53.000,,0.000,,9,19,,
T,2021-10-16 17:05:56,40.72545952,-73.99680563,14,-6.000,,0.790,71,5,19,,
T,2021-10-16 17:05:57,40.72545149,-73.99679942,14,-7.000,,0.200,48,7,19,,
T,2021-10-16 17:05:59,40.72546073,-73.99680327,13,-8.000,,0.550,173,6,19,,
T,2021-10-16 17:06:01,40.72546861,-73.99677379,13,-7.000,,0.150,78,6,19,,
T,2021-10-16 17:06:03,40.72545778,-73.99678428,13,-9.000,,0.370,183,6,19,,
T,2021-10-16 17:06:04,40.72546789,-73.99677242,13,-7.000,,0.480,146,6,19,,
T,2021-10-16 17:06:05,40.72546932,-73.99676734,14,-7.000,,0.270,142,7,19,,
T,2021-10-16 17:06:06,40.72547129,-73.99676969,14,-7.000,,0.000,,7,19,,
T,2021-10-16 17:06:07,40.72548233,-73.99677942,15,-8.000,,0.270,318,5,19,,
T,2021-10-16 17:06:08,40.72547923,-73.99678342,15,-9.000,,0.000,,8,19,,
T,2021-10-16 17:06:09,40.72547300,-73.99679592,16,-10.000,,0.000,,5,19,,
T,2021-10-16 17:06:13,40.72546088,-73.99678815,18,-12.000,,0.000,,6,19,,
T,2021-10-16 17:06:17,40.72544877,-73.99678276,18,-11.000,,0.000,,7,19,,
T,2021-10-16 17:06:20,40.72545701,-73.99676909,18,-12.000,,0.000,,7,19,,
T,2021-10-16 17:06:50,40.72546209,-73.99677475,17,-12.000,,0.000,,5,19,,
