type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-14 22:55:09,40.71711980,-73.95848403,18,-55.000,,0.230,224,6,19,20211014-185509,GPS Logger: 20211014-185509
T,2021-10-14 22:55:10,40.71711767,-73.95842318,15,-51.000,,0.410,181,7,19,,
T,2021-10-14 22:55:11,40.71712459,-73.95839580,18,-43.000,,0.510,144,7,19,,
T,2021-10-14 22:55:12,40.71712543,-73.95836810,16,-37.000,,0.630,159,5,19,,
T,2021-10-14 22:55:13,40.71713985,-73.95839802,15,-29.000,,0.500,269,6,19,,
T,2021-10-14 22:55:14,40.71718563,-73.95841830,18,-14.000,,0.850,264,6,19,,
T,2021-10-14 22:55:15,40.71719016,-73.95840804,16,-11.000,,0.370,264,6,19,,
T,2021-10-14 22:55:16,40.71719754,-73.95842772,15,-9.000,,0.380,284,6,19,,
T,2021-10-14 22:55:17,40.71720264,-73.95845055,14,-7.000,,0.580,294,6,19,,
T,2021-10-14 22:55:19,40.71721186,-73.95847116,14,-1.000,,0.710,259,6,19,,
T,2021-10-14 22:55:21,40.71720237,-73.95848496,15,7.000,,0.910,224,6,19,,
T,2021-10-14 22:55:23,40.71717827,-73.95851181,13,11.000,,1.070,231,6,19,,
T,2021-10-14 22:55:24,40.71716447,-73.95853344,15,12.000,,1.040,231,6,19,,
T,2021-10-14 22:55:25,40.71709451,-73.95868291,10,-6.000,,1.450,246,6,19,,
T,2021-10-14 22:55:26,40.71711161,-73.95872035,10,-5.000,,1.590,284,6,19,,
T,2021-10-14 22:55:27,40.71711710,-73.95873823,10,-6.000,,1.390,295,7,19,,
T,2021-10-14 22:55:28,40.71710954,-73.95874958,6,-6.000,,1.070,234,7,19,,
T,2021-10-14 22:55:30,40.71708794,-73.95875041,6,-6.000,,0.740,217,7,19,,
T,2021-10-14 22:55:31,40.71706964,-73.95876179,6,-7.000,,0.630,230,7,19,,
T,2021-10-14 22:55:32,40.71704536,-73.95876894,5,-8.000,,0.910,216,7,19,,
T,2021-10-14 22:55:33,40.71702987,-73.95877104,5,-9.000,,0.950,215,7,19,,
T,2021-10-14 22:55:34,40.71702599,-73.95878591,5,-12.000,,0.960,233,8,19,,
T,2021-10-14 22:55:36,40.71701298,-73.95879526,5,-14.000,,0.920,215,7,19,,
T,2021-10-14 22:55:37,40.71699930,-73.95880230,4,-14.000,,1.150,223,8,19,,
T,2021-10-14 22:55:38,40.71699077,-73.95880927,4,-14.000,,0.780,240,7,19,,
