type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-09 19:09:31,40.74102985,-73.98806775,46,-10.000,,,,5,20,20211009-150931,GPS Logger: 20211009-150931
T,2021-10-09 19:09:32,40.74103110,-73.98802991,44,-10.000,,0.000,,5,18,,
T,2021-10-09 19:09:33,40.74104610,-73.98799148,43,-10.000,,0.000,,5,18,,
T,2021-10-09 19:09:34,40.74106889,-73.98795623,45,-10.000,,,,6,20,,
T,2021-10-09 19:09:35,40.74107992,-73.98793147,46,-9.000,,,,5,19,,
T,2021-10-09 19:09:36,40.74109728,-73.98789652,46,-8.000,,,,5,20,,
T,2021-10-09 19:09:37,40.74110234,-73.98788046,48,-7.000,,,,6,18,,
T,2021-10-09 19:09:38,40.74112526,-73.98784030,48,-5.000,,,,6,20,,
T,2021-10-09 19:09:39,40.74113545,-73.98782734,49,-4.000,,,,6,20,,
T,2021-10-09 19:09:40,40.74117842,-73.98776862,51,-4.000,,,,5,19,,
T,2021-10-09 19:09:42,40.74124459,-73.98767745,49,-2.000,,,,5,20,,
T,2021-10-09 19:09:43,40.74127272,-73.98765409,49,-1.000,,,,5,19,,
T,2021-10-09 19:09:44,40.74130463,-73.98762723,51,0.000,,,,5,20,,
T,2021-10-09 19:09:45,40.74132117,-73.98760673,49,2.000,,,,5,19,,
T,2021-10-09 19:09:47,40.74134878,-73.98759736,49,3.000,,,,6,20,,
T,2021-10-09 19:09:48,40.74133641,-73.98760560,47,3.000,,0.000,,4,20,,
T,2021-10-09 19:09:50,40.74133991,-73.98758692,46,6.000,,0.000,,3,21,,
T,2021-10-09 19:09:51,40.74133750,-73.98755550,46,8.000,,,,7,21,,
T,2021-10-09 19:09:52,40.74130630,-73.98755957,46,7.000,,,,6,20,,
T,2021-10-09 19:09:53,40.74131514,-73.98751834,46,9.000,,,,6,21,,
T,2021-10-09 19:09:56,40.74134419,-73.98750246,53,13.000,,,,6,21,,
T,2021-10-09 19:09:57,40.74137138,-73.98749364,54,14.000,,,,5,20,,
T,2021-10-09 19:09:58,40.74137263,-73.98750955,57,15.000,,,,5,20,,
T,2021-10-09 19:09:59,40.74140018,-73.98750851,60,13.000,,,,5,20,,
T,2021-10-09 19:10:00,40.74142625,-73.98748944,63,10.000,,,,4,20,,
T,2021-10-09 19:10:01,40.74148028,-73.98745237,60,9.000,,,,4,20,,
T,2021-10-09 19:10:02,40.74146680,-73.98746451,59,10.000,,,,5,21,,
T,2021-10-09 19:10:03,40.74144240,-73.98747458,42,10.000,,0.000,,5,20,,
T,2021-10-09 19:10:04,40.74147192,-73.98744714,36,10.000,,0.000,,5,20,,
T,2021-10-09 19:10:05,40.74145501,-73.98747260,34,8.000,,0.000,,5,20,,
T,2021-10-09 19:10:06,40.74147229,-73.98745321,32,9.000,,0.000,,5,21,,
T,2021-10-09 19:10:07,40.74145178,-73.98748020,30,8.000,,0.000,,5,21,,
T,2021-10-09 19:10:08,40.74144140,-73.98749245,30,8.000,,0.000,,4,20,,
T,2021-10-09 19:10:12,40.74140597,-73.98753460,33,7.000,,0.000,,4,20,,
T,2021-10-09 19:11:04,40.74174455,-73.98742931,195,5.000,,,,1,21,,
T,2021-10-09 19:11:07,40.74140029,-73.98754226,239,7.000,,,,,21,,
T,2021-10-09 19:11:56,40.74095020,-73.98700564,116,10.000,,,,3,20,,
T,2021-10-09 19:11:57,40.74094184,-73.98622989,95,12.000,,,,4,20,,
T,2021-10-09 19:11:58,40.74098830,-73.98580293,86,14.000,,,,4,20,,
T,2021-10-09 19:11:59,40.74069377,-73.98559591,87,14.000,,,,4,20,,
T,2021-10-09 19:12:00,40.74018447,-73.98528623,102,14.000,,,,4,20,,
T,2021-10-09 19:12:01,40.73993805,-73.98507736,119,14.000,,,,2,20,,
T,2021-10-09 19:12:02,40.73977505,-73.98490315,137,13.000,,,,2,20,,
T,2021-10-09 19:12:03,40.73957383,-73.98472290,157,12.000,,,,2,20,,
T,2021-10-09 19:12:04,40.73944530,-73.98458988,176,12.000,,,,2,20,,
T,2021-10-09 19:12:05,40.73921764,-73.98442076,195,11.000,,,,2,20,,
T,2021-10-09 19:12:06,40.73902843,-73.98427975,217,10.000,,,,2,20,,
T,2021-10-09 19:12:07,40.73882270,-73.98413612,240,10.000,,,,2,20,,
T,2021-10-09 19:12:09,40.73886868,-73.98346509,245,10.000,,,,2,20,,
T,2021-10-09 19:12:10,40.73893329,-73.98294735,224,11.000,,,,3,20,,
T,2021-10-09 19:12:11,40.73879369,-73.98284865,241,11.000,,,,2,20,,
T,2021-10-09 19:12:12,40.73877301,-73.98276406,217,11.000,,,,2,20,,
T,2021-10-09 19:12:13,40.73882110,-73.98277570,222,11.000,,,,2,19,,
T,2021-10-09 19:12:14,40.73879345,-73.98288140,210,11.000,,,,3,20,,
T,2021-10-09 19:12:15,40.73891344,-73.98287795,189,11.000,,,,2,19,,
T,2021-10-09 19:12:16,40.73902475,-73.98294015,176,11.000,,,,3,20,,
T,2021-10-09 19:12:17,40.73902195,-73.98297693,170,11.000,,,,3,20,,
T,2021-10-09 19:12:18,40.73905817,-73.98294938,164,11.000,,,,2,19,,
T,2021-10-09 19:12:19,40.73905765,-73.98301505,152,11.000,,,,4,20,,
T,2021-10-09 19:12:20,40.73913866,-73.98297442,146,11.000,,,,4,20,,
T,2021-10-09 19:12:21,40.73920626,-73.98291410,137,11.000,,,,4,20,,
T,2021-10-09 19:12:22,40.73914165,-73.98285429,133,11.000,,,,4,20,,
T,2021-10-09 19:12:23,40.73915405,-73.98279010,129,11.000,,,,4,20,,
T,2021-10-09 19:12:24,40.73906290,-73.98271982,128,11.000,,,,4,20,,
T,2021-10-09 19:12:25,40.73905051,-73.98266445,130,11.000,,,,4,20,,
T,2021-10-09 19:12:26,40.73902484,-73.98259623,135,11.000,,,,3,20,,
T,2021-10-09 19:12:27,40.73900954,-73.98253179,139,11.000,,,,3,20,,
T,2021-10-09 19:12:28,40.73893427,-73.98243743,145,11.000,,,,2,20,,
T,2021-10-09 19:12:29,40.73893568,-73.98237023,153,11.000,,,,3,20,,
T,2021-10-09 19:12:30,40.73890591,-73.98229529,164,11.000,,,,2,20,,
T,2021-10-09 19:12:31,40.73889869,-73.98222325,176,11.000,,,,2,20,,
T,2021-10-09 19:12:32,40.73884242,-73.98214702,185,11.000,,,,2,20,,
T,2021-10-09 19:12:33,40.73881686,-73.98208046,200,11.000,,,,2,20,,
T,2021-10-09 19:12:34,40.73879365,-73.98201624,216,11.000,,,,3,20,,
T,2021-10-09 19:12:35,40.73876917,-73.98195358,234,11.000,,,,2,20,,
T,2021-10-09 19:12:46,40.73861112,-73.98180836,214,11.000,,,,4,20,,
T,2021-10-09 19:12:47,40.73859413,-73.98176839,224,11.000,,,,2,20,,
T,2021-10-09 19:12:48,40.73853924,-73.98171816,235,11.000,,,,2,20,,
T,2021-10-09 19:13:10,40.73841685,-73.98082346,197,9.000,,,,3,20,,
T,2021-10-09 19:13:11,40.73839205,-73.98080526,200,9.000,,,,2,20,,
T,2021-10-09 19:13:12,40.73835311,-73.98084702,197,9.000,,,,3,20,,
T,2021-10-09 19:13:13,40.73837515,-73.98086226,201,10.000,,,,2,20,,
T,2021-10-09 19:13:14,40.73839625,-73.98083552,203,10.000,,,,2,20,,
T,2021-10-09 19:13:15,40.73837402,-73.98084243,196,9.000,,,,2,20,,
T,2021-10-09 19:13:16,40.73840705,-73.98082468,197,10.000,,,,2,20,,
T,2021-10-09 19:13:17,40.73848329,-73.98080536,198,10.000,,,,2,20,,
T,2021-10-09 19:13:18,40.73843633,-73.98080847,194,10.000,,,,2,20,,
T,2021-10-09 19:13:19,40.73844643,-73.98083404,190,10.000,,,,3,20,,
T,2021-10-09 19:13:20,40.73850986,-73.98083352,191,10.000,,,,3,20,,
T,2021-10-09 19:13:21,40.73848346,-73.98081400,195,10.000,,,,3,20,,
T,2021-10-09 19:13:22,40.73855223,-73.98080047,199,10.000,,,,3,20,,
T,2021-10-09 19:13:23,40.73847575,-73.98074747,178,11.000,,,,2,20,,
T,2021-10-09 19:13:24,40.73849348,-73.98065223,154,11.000,,,,3,20,,
T,2021-10-09 19:13:25,40.73843210,-73.98060022,139,11.000,,,,4,20,,
T,2021-10-09 19:13:26,40.73842117,-73.98058158,133,11.000,,,,3,19,,
T,2021-10-09 19:13:27,40.73840087,-73.98056947,125,12.000,,,,3,20,,
T,2021-10-09 19:13:29,40.73838388,-73.98054713,123,13.000,,,,3,20,,
T,2021-10-09 19:13:30,40.73836783,-73.98052633,137,13.000,,,,2,20,,
T,2021-10-09 19:13:31,40.73834435,-73.98051511,151,13.000,,,,2,20,,
T,2021-10-09 19:13:32,40.73829977,-73.98053562,137,13.000,,,,2,20,,
T,2021-10-09 19:13:33,40.73830318,-73.98055246,99,14.000,,,,3,20,,
T,2021-10-09 19:13:34,40.73828544,-73.98056272,85,15.000,,,,4,20,,
T,2021-10-09 19:13:35,40.73835780,-73.98046762,70,18.000,,,,6,20,,
T,2021-10-09 19:13:36,40.73824537,-73.98057506,50,31.000,,,,5,20,,
T,2021-10-09 19:13:37,40.73829566,-73.98050430,46,25.000,,,,6,20,,
T,2021-10-09 19:13:38,40.73835354,-73.98054947,31,24.000,,,,6,20,,
T,2021-10-09 19:13:39,40.73835761,-73.98060401,25,24.000,,0.000,,5,20,,
T,2021-10-09 19:13:40,40.73829746,-73.98059094,22,27.000,,0.410,121,5,20,,
T,2021-10-09 19:13:41,40.73831538,-73.98058467,19,31.000,,0.290,107,7,20,,
T,2021-10-09 19:13:42,40.73831055,-73.98059478,16,26.000,,0.500,106,6,20,,
T,2021-10-09 19:13:43,40.73824056,-73.98059269,18,30.000,,0.940,120,6,20,,
T,2021-10-09 19:13:44,40.73821111,-73.98060408,16,38.000,,0.420,221,7,20,,
T,2021-10-09 19:13:45,40.73821800,-73.98061326,16,38.000,,0.350,149,7,20,,
T,2021-10-09 19:13:46,40.73824598,-73.98055481,19,39.000,,0.590,76,6,20,,
T,2021-10-09 19:13:49,40.73823112,-73.98055438,22,44.000,,,,3,20,,
T,2021-10-09 19:13:50,40.73821337,-73.98055397,21,58.000,,0.000,,4,20,,
T,2021-10-09 19:13:51,40.73822917,-73.98054932,19,56.000,,0.000,,5,20,,
T,2021-10-09 19:13:52,40.73822705,-73.98051880,18,60.000,,0.000,,6,21,,
T,2021-10-09 19:13:54,40.73822033,-73.98050730,18,60.000,,0.000,,6,21,,
T,2021-10-09 19:13:55,40.73819212,-73.98052199,19,61.000,,0.000,,5,21,,
T,2021-10-09 19:13:56,40.73819138,-73.98050853,20,60.000,,0.000,,6,21,,
T,2021-10-09 19:13:58,40.73820622,-73.98049650,21,56.000,,0.000,,5,21,,
T,2021-10-09 19:14:04,40.73821411,-73.98048960,29,55.000,,0.000,,2,21,,
T,2021-10-09 19:14:10,40.73822267,-73.98050647,23,50.000,,0.000,,4,20,,
T,2021-10-09 19:14:11,40.73823515,-73.98053321,22,40.000,,0.000,,5,21,,
T,2021-10-09 19:14:36,40.73822500,-73.98055169,19,39.000,,0.000,,4,21,,
T,2021-10-09 19:14:38,40.73822095,-73.98056421,18,38.000,,0.000,,5,21,,
T,2021-10-09 19:14:40,40.73821400,-73.98058055,17,36.000,,0.000,,3,21,,
T,2021-10-09 19:15:31,40.73814403,-73.98040086,81,35.000,,,,2,21,,
T,2021-10-09 19:15:32,40.73799246,-73.98040156,70,33.000,,,,2,21,,
T,2021-10-09 19:15:33,40.73792325,-73.98007740,72,31.000,,,,1,21,,
T,2021-10-09 19:15:36,40.73753627,-73.97842677,74,25.000,,,,,21,,
T,2021-10-09 19:15:37,40.73673434,-73.97637194,39,32.000,,,,,21,,
T,2021-10-09 19:15:38,40.73607551,-73.97630410,27,24.000,,,,4,21,,
T,2021-10-09 19:15:39,40.73571264,-73.97635336,18,21.000,,,,6,21,,
T,2021-10-09 19:15:40,40.73557722,-73.97628120,19,19.000,,,,5,21,,
T,2021-10-09 19:15:41,40.73545680,-73.97616407,22,14.000,,,,5,21,,
T,2021-10-09 19:15:42,40.73532676,-73.97606314,25,13.000,,,,5,21,,
T,2021-10-09 19:15:43,40.73528901,-73.97594142,28,8.000,,,,5,21,,
T,2021-10-09 19:15:44,40.73535554,-73.97596433,27,10.000,,,,5,21,,
T,2021-10-09 19:15:45,40.73535120,-73.97593843,18,11.000,,,,5,21,,
T,2021-10-09 19:15:46,40.73542748,-73.97583343,14,9.000,,6.160,127,6,21,,
T,2021-10-09 19:15:47,40.73540800,-73.97578163,13,11.000,,5.410,126,7,21,,
T,2021-10-09 19:15:48,40.73540013,-73.97574646,12,14.000,,4.540,127,7,21,,
T,2021-10-09 19:15:49,40.73540099,-73.97567076,12,10.000,,4.230,127,6,21,,
T,2021-10-09 19:15:50,40.73540404,-73.97563594,12,9.000,,3.100,135,7,21,,
T,2021-10-09 19:15:51,40.73539154,-73.97560526,12,7.000,,3.010,137,7,21,,
T,2021-10-09 19:15:52,40.73540652,-73.97559000,12,5.000,,1.770,142,7,21,,
T,2021-10-09 19:15:54,40.73539012,-73.97558048,12,4.000,,1.400,146,8,21,,
T,2021-10-09 19:15:55,40.73538821,-73.97555892,13,3.000,,1.270,146,7,21,,
T,2021-10-09 19:15:56,40.73536021,-73.97554605,13,5.000,,0.710,131,4,21,,
T,2021-10-09 19:15:58,40.73534141,-73.97554852,15,5.000,,0.600,153,6,21,,
T,2021-10-09 19:15:59,40.73533257,-73.97554375,16,4.000,,0.460,161,6,21,,
T,2021-10-09 19:16:00,40.73530817,-73.97555249,17,4.000,,0.920,175,5,21,,
T,2021-10-09 19:16:01,40.73529087,-73.97553694,20,3.000,,1.160,168,7,21,,
T,2021-10-09 19:16:02,40.73527912,-73.97553785,19,3.000,,0.910,171,6,21,,
T,2021-10-09 19:16:03,40.73530123,-73.97553828,18,2.000,,0.410,174,4,21,,
T,2021-10-09 19:16:04,40.73533192,-73.97554671,16,2.000,,0.240,156,7,21,,
T,2021-10-09 19:16:06,40.73533676,-73.97555070,19,2.000,,0.270,153,5,21,,
T,2021-10-09 19:16:07,40.73532875,-73.97554732,19,2.000,,0.000,,7,21,,
T,2021-10-09 19:16:08,40.73534290,-73.97555371,21,2.000,,0.000,,5,21,,
T,2021-10-09 19:16:12,40.73534969,-73.97553947,22,1.000,,0.000,,6,20,,
T,2021-10-09 19:16:17,40.73535145,-73.97552735,27,2.000,,0.000,,5,20,,
T,2021-10-09 19:16:25,40.73536145,-73.97552547,22,1.000,,0.000,,5,20,,
T,2021-10-09 19:16:33,40.73537116,-73.97552375,16,1.000,,0.000,,6,20,,
T,2021-10-09 19:16:35,40.73537166,-73.97552371,18,1.000,,0.000,,6,20,,
T,2021-10-09 19:16:36,40.73526053,-73.97546462,17,0.000,,7.140,161,5,20,,
T,2021-10-09 19:16:37,40.73522020,-73.97542562,15,-2.000,,8.420,165,5,20,,
T,2021-10-09 19:16:38,40.73508337,-73.97539786,15,-1.000,,9.130,167,5,20,,
T,2021-10-09 19:16:39,40.73496762,-73.97539014,16,-2.000,,10.510,173,5,20,,
T,2021-10-09 19:16:40,40.73484325,-73.97537487,16,-1.000,,10.480,174,5,20,,
T,2021-10-09 19:16:41,40.73474691,-73.97534963,17,-1.000,,10.490,173,5,20,,
T,2021-10-09 19:16:42,40.73464615,-73.97526799,16,-2.000,,10.730,163,6,20,,
T,2021-10-09 19:16:43,40.73453449,-73.97522446,18,-2.000,,10.570,162,5,20,,
T,2021-10-09 19:16:44,40.73446514,-73.97519276,18,-2.000,,9.010,159,6,20,,
T,2021-10-09 19:16:45,40.73441081,-73.97515450,17,-3.000,,7.430,164,5,20,,
T,2021-10-09 19:16:46,40.73433595,-73.97509824,16,-4.000,,6.850,161,5,20,,
T,2021-10-09 19:16:47,40.73433545,-73.97511531,17,-3.000,,4.040,162,6,20,,
T,2021-10-09 19:16:48,40.73429431,-73.97506005,17,-1.000,,3.950,166,6,20,,
T,2021-10-09 19:16:49,40.73425504,-73.97501245,18,2.000,,4.010,168,6,20,,
T,2021-10-09 19:16:50,40.73419608,-73.97503105,17,0.000,,4.400,173,7,20,,
T,2021-10-09 19:16:51,40.73415582,-73.97500567,18,1.000,,4.190,173,5,20,,
T,2021-10-09 19:16:52,40.73411338,-73.97497241,17,0.000,,4.360,168,6,20,,
T,2021-10-09 19:16:53,40.73405427,-73.97495354,18,-1.000,,4.670,166,7,20,,
T,2021-10-09 19:16:54,40.73400748,-73.97492308,19,-2.000,,4.480,165,7,20,,
T,2021-10-09 19:16:55,40.73396049,-73.97490841,17,-3.000,,3.950,167,6,20,,
T,2021-10-09 19:16:56,40.73392262,-73.97488149,18,-5.000,,3.790,166,6,20,,
T,2021-10-09 19:16:57,40.73389959,-73.97487255,16,-6.000,,3.240,170,6,20,,
T,2021-10-09 19:16:58,40.73386743,-73.97485840,15,-7.000,,3.360,168,6,20,,
T,2021-10-09 19:16:59,40.73382673,-73.97484772,17,-7.000,,3.320,167,5,20,,
T,2021-10-09 19:17:00,40.73382616,-73.97483355,17,-8.000,,2.910,168,5,20,,
T,2021-10-09 19:17:01,40.73379678,-73.97481862,18,-9.000,,3.150,168,5,20,,
T,2021-10-09 19:17:02,40.73377579,-73.97479803,20,-10.000,,2.990,163,6,20,,
T,2021-10-09 19:17:03,40.73376958,-73.97478943,21,-9.000,,2.960,163,5,20,,
T,2021-10-09 19:17:04,40.73372464,-73.97477380,22,-9.000,,3.610,167,3,20,,
T,2021-10-09 19:17:05,40.73368744,-73.97477248,23,-9.000,,3.900,172,5,20,,
T,2021-10-09 19:17:06,40.73362693,-73.97471865,24,-10.000,,4.620,168,4,20,,
T,2021-10-09 19:17:07,40.73360056,-73.97474750,21,-11.000,,4.260,171,6,20,,
T,2021-10-09 19:17:08,40.73354995,-73.97476758,19,-14.000,,4.850,167,5,20,,
T,2021-10-09 19:17:09,40.73351042,-73.97476010,19,-17.000,,4.940,167,7,20,,
T,2021-10-09 19:17:10,40.73345339,-73.97471863,19,-19.000,,5.620,167,6,20,,
T,2021-10-09 19:17:11,40.73338697,-73.97472075,20,-20.000,,5.710,168,6,20,,
T,2021-10-09 19:17:12,40.73331808,-73.97471707,21,-19.000,,6.100,171,5,20,,
