type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-28 19:42:34,40.75581080,-73.97958222,84,22.000,,,,5,22,20210928-154234,GPS Logger: 20210928-154234
T,2021-09-28 19:42:35,40.75585502,-73.97950339,72,19.000,,0.000,,5,22,,
T,2021-09-28 19:42:36,40.75573143,-73.97961735,66,31.000,,0.000,,4,22,,
T,2021-09-28 19:42:37,40.75536221,-73.97986679,43,52.000,,,,5,22,,
T,2021-09-28 19:42:38,40.75520013,-73.97989672,35,46.000,,,,5,22,,
T,2021-09-28 19:42:39,40.75514592,-73.97987498,37,50.000,,,,6,22,,
T,2021-09-28 19:42:40,40.75512950,-73.97985784,37,50.000,,,,7,22,,
T,2021-09-28 19:42:41,40.75498100,-73.98000983,30,40.000,,6.000,211,7,22,,
T,2021-09-28 19:42:42,40.75493519,-73.98003144,29,41.000,,5.630,210,7,22,,
T,2021-09-28 19:42:43,40.75489411,-73.98006823,28,41.000,,4.660,214,5,22,,
T,2021-09-28 19:42:44,40.75488553,-73.98007529,27,44.000,,2.790,215,5,22,,
T,2021-09-28 19:42:45,40.75484295,-73.98009468,27,43.000,,2.790,214,5,22,,
T,2021-09-28 19:42:46,40.75481991,-73.98009153,25,42.000,,1.590,202,6,22,,
T,2021-09-28 19:42:47,40.75480393,-73.98007604,26,37.000,,1.480,200,5,22,,
T,2021-09-28 19:42:48,40.75480058,-73.98003295,29,30.000,,1.040,188,5,22,,
T,2021-09-28 19:42:49,40.75476864,-73.98001875,30,28.000,,,,5,22,,
T,2021-09-28 19:42:50,40.75474762,-73.98000629,30,27.000,,1.150,163,4,22,,
T,2021-09-28 19:42:51,40.75473807,-73.97994097,34,26.000,,,,5,22,,
T,2021-09-28 19:42:52,40.75476672,-73.97991474,41,23.000,,,,6,22,,
T,2021-09-28 19:42:53,40.75480012,-73.97991790,45,22.000,,,,3,22,,
T,2021-09-28 19:42:54,40.75479217,-73.97994205,52,23.000,,,,4,22,,
T,2021-09-28 19:42:55,40.75482483,-73.97996684,56,23.000,,,,3,22,,
T,2021-09-28 19:42:56,40.75482276,-73.98006622,59,24.000,,,,3,22,,
T,2021-09-28 19:42:57,40.75486144,-73.98019234,58,24.000,,,,2,22,,
T,2021-09-28 19:42:58,40.75487261,-73.98010946,61,23.000,,,,4,22,,
T,2021-09-28 19:42:59,40.75473042,-73.98003179,56,23.000,,,,5,22,,
T,2021-09-28 19:43:00,40.75457503,-73.98007489,44,23.000,,4.390,205,4,22,,
T,2021-09-28 19:43:01,40.75440084,-73.98015363,35,14.000,,5.160,208,3,22,,
T,2021-09-28 19:43:02,40.75434856,-73.98018309,30,14.000,,5.440,214,6,22,,
T,2021-09-28 19:43:03,40.75432272,-73.98021293,29,17.000,,5.470,214,7,23,,
T,2021-09-28 19:43:05,40.75430487,-73.98024740,33,20.000,,4.910,216,5,23,,
T,2021-09-28 19:43:06,40.75427573,-73.98028016,37,22.000,,,,7,23,,
T,2021-09-28 19:43:07,40.75421711,-73.98032697,37,17.000,,4.920,218,7,23,,
T,2021-09-28 19:43:08,40.75413167,-73.98044923,40,13.000,,,,6,23,,
T,2021-09-28 19:43:09,40.75401719,-73.98066345,40,10.000,,,,6,23,,
T,2021-09-28 19:43:10,40.75390683,-73.98068612,38,7.000,,7.700,219,5,23,,
T,2021-09-28 19:43:11,40.75381307,-73.98073322,30,5.000,,7.370,207,7,23,,
T,2021-09-28 19:43:12,40.75371212,-73.98075315,26,1.000,,7.500,206,7,23,,
T,2021-09-28 19:43:13,40.75364480,-73.98080056,27,1.000,,7.400,206,8,23,,
