type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-11-06 19:29:28,40.75706639,-73.97850175,25,-9.000,,0.000,,4,19,20211106-152928,GPS Logger: 20211106-152928
T,2021-11-06 19:29:29,40.75707293,-73.97848245,24,-4.000,,0.000,,4,19,,
T,2021-11-06 19:29:30,40.75706266,-73.97845452,24,-1.000,,1.000,237,4,19,,
T,2021-11-06 19:29:31,40.75704354,-73.97845791,23,-3.000,,0.940,221,4,19,,
T,2021-11-06 19:29:32,40.75702953,-73.97846685,22,-1.000,,0.870,231,4,19,,
T,2021-11-06 19:29:33,40.75702065,-73.97844568,22,1.000,,1.050,231,4,19,,
T,2021-11-06 19:29:34,40.75700576,-73.97845401,24,3.000,,1.030,227,5,19,,
T,2021-11-06 19:29:35,40.75699226,-73.97846627,26,3.000,,1.430,231,5,19,,
T,2021-11-06 19:29:36,40.75696902,-73.97847382,26,5.000,,1.420,230,5,19,,
T,2021-11-06 19:29:37,40.75694750,-73.97847785,27,8.000,,0.890,204,5,19,,
T,2021-11-06 19:29:38,40.75692537,-73.97847907,26,11.000,,1.160,194,5,19,,
T,2021-11-06 19:29:39,40.75690091,-73.97848889,27,13.000,,1.310,196,5,19,,
T,2021-11-06 19:29:40,40.75688237,-73.97848561,31,14.000,,1.050,185,5,19,,
T,2021-11-06 19:29:41,40.75684338,-73.97848921,32,16.000,,2.410,193,5,19,,
T,2021-11-06 19:29:42,40.75682145,-73.97850221,35,16.000,,2.350,194,4,19,,
T,2021-11-06 19:29:43,40.75680084,-73.97851129,41,16.000,,2.330,195,2,19,,
T,2021-11-06 19:29:44,40.75676653,-73.97852483,48,17.000,,2.620,198,2,19,,
T,2021-11-06 19:29:45,40.75672488,-73.97854525,57,18.000,,2.950,200,2,19,,
T,2021-11-06 19:29:46,40.75667995,-73.97856635,67,20.000,,3.210,203,3,19,,
T,2021-11-06 19:29:47,40.75662428,-73.97855140,72,21.000,,3.330,195,3,18,,
T,2021-11-06 19:29:48,40.75662599,-73.97853908,63,22.000,,1.350,192,3,19,,
T,2021-11-06 19:29:49,40.75663466,-73.97856740,66,21.000,,1.400,204,3,19,,
T,2021-11-06 19:29:50,40.75661876,-73.97857663,71,22.000,,1.340,208,3,19,,
T,2021-11-06 19:29:51,40.75656915,-73.97862583,66,22.000,,2.650,206,3,19,,
T,2021-11-06 19:29:52,40.75654174,-73.97865307,63,23.000,,1.550,205,4,19,,
T,2021-11-06 19:29:53,40.75651402,-73.97868640,60,24.000,,1.670,203,3,19,,
T,2021-11-06 19:29:54,40.75648422,-73.97873781,55,25.000,,1.340,220,3,19,,
T,2021-11-06 19:29:55,40.75649793,-73.97875444,51,24.000,,1.270,216,4,19,,
T,2021-11-06 19:29:56,40.75649617,-73.97868412,47,25.000,,0.880,193,3,19,,
T,2021-11-06 19:29:57,40.75649260,-73.97866284,51,25.000,,0.000,,3,19,,
T,2021-11-06 19:29:58,40.75649177,-73.97862750,53,25.000,,0.000,,4,19,,
T,2021-11-06 19:29:59,40.75649749,-73.97858360,55,25.000,,0.000,,4,19,,
T,2021-11-06 19:30:00,40.75648306,-73.97857394,57,22.000,,0.000,,3,19,,
T,2021-11-06 19:30:01,40.75649874,-73.97854876,58,19.000,,0.000,,4,19,,
T,2021-11-06 19:30:02,40.75649236,-73.97854039,62,20.000,,0.000,,4,19,,
T,2021-11-06 19:30:03,40.75649586,-73.97851662,70,19.000,,0.000,,5,19,,
T,2021-11-06 19:30:12,40.75649932,-73.97849492,66,24.000,,0.000,,4,19,,
T,2021-11-06 19:30:27,40.75650991,-73.97851941,52,19.000,,0.000,,4,18,,
T,2021-11-06 19:30:32,40.75651353,-73.97853098,65,17.000,,0.000,,3,18,,
T,2021-11-06 19:30:34,40.75652014,-73.97854784,52,14.000,,0.000,,5,18,,
