type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-14 18:22:26,40.69093293,-73.98677692,36,101.327,,0.670,171,18,26,20210914-142226,GPS Logger: 20210914-142226
T,2021-09-14 18:22:28,40.69088807,-73.98690991,18,107.279,,1.050,122,17,26,,
T,2021-09-14 18:22:30,40.69094050,-73.98694663,10,87.352,,0.000,,17,26,,
T,2021-09-14 18:22:33,40.69089989,-73.98691059,9,90.849,,0.690,130,17,26,,
T,2021-09-14 18:22:36,40.69091844,-73.98683119,9,78.220,,0.630,125,18,26,,
T,2021-09-14 18:22:38,40.69090880,-73.98682618,7,76.738,,0.000,,18,26,,
T,2021-09-14 18:22:40,40.69092956,-73.98681719,7,66.224,,0.000,,18,26,,
T,2021-09-14 18:22:41,40.69093836,-73.98682096,8,65.702,,0.000,,18,26,,
T,2021-09-14 18:22:42,40.69093885,-73.98682093,8,65.716,,0.000,,18,26,,
T,2021-09-14 18:22:44,40.69092571,-73.98680697,9,64.606,,0.930,135,18,26,,
T,2021-09-14 18:22:45,40.69091780,-73.98679796,9,63.187,,1.020,141,18,26,,
T,2021-09-14 18:22:46,40.69091205,-73.98678721,8,61.481,,1.070,118,18,26,,
T,2021-09-14 18:22:47,40.69091045,-73.98675563,7,57.242,,1.170,121,18,26,,
T,2021-09-14 18:22:48,40.69090896,-73.98672373,7,55.072,,1.240,109,18,26,,
T,2021-09-14 18:22:49,40.69090903,-73.98668784,7,51.604,,1.120,117,18,26,,
T,2021-09-14 18:22:50,40.69090918,-73.98665240,6,49.960,,1.150,122,19,26,,
T,2021-09-14 18:22:51,40.69090899,-73.98661688,6,48.024,,1.180,123,19,26,,
T,2021-09-14 18:22:52,40.69090804,-73.98658905,6,48.363,,1.200,116,19,26,,
T,2021-09-14 18:22:53,40.69090923,-73.98656439,5,47.336,,1.070,114,19,26,,
T,2021-09-14 18:22:54,40.69090981,-73.98654578,5,47.502,,0.920,116,19,26,,
T,2021-09-14 18:22:55,40.69090964,-73.98652993,5,46.980,,0.960,117,19,26,,
T,2021-09-14 18:22:56,40.69090860,-73.98651211,4,45.905,,0.910,121,19,26,,
T,2021-09-14 18:22:57,40.69090600,-73.98649390,4,45.258,,0.950,128,19,26,,
T,2021-09-14 18:22:58,40.69090616,-73.98646885,4,44.073,,1.040,107,19,26,,
