type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-10 00:26:48,40.74096849,-73.99012282,33,119.000,,0.620,318,11,20,20211009-202648,GPS Logger: 20211009-202648 - Madison avenue
T,2021-10-10 00:26:49,40.74098867,-73.99015048,27,125.000,,0.800,309,11,20,,
T,2021-10-10 00:26:50,40.74084421,-73.98974205,10,18.000,,0.780,348,11,20,,
T,2021-10-10 00:26:51,40.74084348,-73.98972018,12,11.000,,0.780,352,11,20,,
T,2021-10-10 00:26:52,40.74082481,-73.98970357,13,5.000,,0.580,32,12,20,,
T,2021-10-10 00:26:53,40.74082819,-73.98972079,13,6.000,,0.910,26,12,20,,
T,2021-10-10 00:26:54,40.74083240,-73.98970827,14,5.000,,1.020,14,11,20,,
T,2021-10-10 00:26:55,40.74084005,-73.98968461,15,2.000,,1.380,26,11,20,,
T,2021-10-10 00:26:56,40.74085629,-73.98967261,17,1.000,,1.650,27,12,20,,
T,2021-10-10 00:26:57,40.74088163,-73.98964262,22,0.000,,2.250,34,11,20,,
T,2021-10-10 00:26:58,40.74088835,-73.98965528,20,-1.000,,1.990,13,12,20,,
T,2021-10-10 00:26:59,40.74087875,-73.98962896,21,-4.000,,1.170,18,10,20,,
T,2021-10-10 00:27:00,40.74088355,-73.98961466,22,-5.000,,0.680,14,7,20,,
T,2021-10-10 00:27:01,40.74087287,-73.98959393,24,-8.000,,0.320,4,12,20,,
T,2021-10-10 00:27:02,40.74087495,-73.98958596,26,-9.000,,0.540,28,13,20,,
T,2021-10-10 00:27:03,40.74088418,-73.98958067,26,-11.000,,0.590,342,13,20,,
T,2021-10-10 00:27:04,40.74088718,-73.98957045,27,-11.000,,0.530,344,6,20,,
T,2021-10-10 00:27:05,40.74089089,-73.98955972,29,-13.000,,0.730,10,13,20,,
T,2021-10-10 00:27:06,40.74090348,-73.98955503,28,-12.000,,0.530,326,6,20,,
T,2021-10-10 00:27:07,40.74091772,-73.98954941,29,-12.000,,0.600,343,11,20,,
T,2021-10-10 00:27:08,40.74091854,-73.98953478,27,-13.000,,0.000,,11,20,,
T,2021-10-10 00:27:09,40.74091988,-73.98951712,26,-12.000,,0.000,,8,20,,
T,2021-10-10 00:27:10,40.74092504,-73.98950950,26,-11.000,,0.000,,9,20,,
T,2021-10-10 00:27:11,40.74092690,-73.98950376,26,-11.000,,0.000,,9,20,,
T,2021-10-10 00:27:12,40.74091947,-73.98949367,28,-11.000,,0.000,,5,20,,
T,2021-10-10 00:27:13,40.74092382,-73.98948881,30,-11.000,,0.000,,5,20,,
T,2021-10-10 00:27:14,40.74091461,-73.98947740,32,-12.000,,0.000,,10,20,,
T,2021-10-10 00:27:15,40.74092016,-73.98945889,36,-13.000,,0.700,30,9,20,,
T,2021-10-10 00:27:16,40.74092702,-73.98943892,37,-15.000,,1.000,18,9,20,,
T,2021-10-10 00:27:17,40.74098988,-73.98942633,35,-15.000,,1.790,4,7,20,,
T,2021-10-10 00:27:18,40.74104988,-73.98942074,33,-11.000,,1.690,358,8,20,,
T,2021-10-10 00:27:19,40.74105751,-73.98940353,33,-12.000,,1.440,348,13,20,,
T,2021-10-10 00:27:20,40.74106182,-73.98939354,33,-13.000,,1.560,355,12,20,,
T,2021-10-10 00:27:21,40.74110731,-73.98940071,30,-13.000,,1.640,353,6,20,,
T,2021-10-10 00:27:22,40.74111712,-73.98938583,28,-12.000,,1.520,354,9,20,,
T,2021-10-10 00:27:23,40.74112028,-73.98934297,24,-12.000,,0.800,17,8,20,,
T,2021-10-10 00:27:24,40.74113610,-73.98934030,23,-12.000,,1.040,16,9,20,,
T,2021-10-10 00:27:25,40.74116550,-73.98931559,22,-15.000,,1.040,22,8,20,,
T,2021-10-10 00:27:26,40.74118535,-73.98928497,22,-16.000,,1.070,25,8,20,,
T,2021-10-10 00:27:27,40.74119463,-73.98926061,20,-16.000,,0.930,20,14,20,,
T,2021-10-10 00:27:28,40.74120743,-73.98924362,18,-16.000,,0.670,24,7,20,,
T,2021-10-10 00:27:29,40.74120091,-73.98921525,17,-16.000,,0.620,54,6,20,,
T,2021-10-10 00:27:30,40.74120602,-73.98919605,16,-16.000,,0.800,40,9,20,,
T,2021-10-10 00:27:31,40.74121554,-73.98918176,17,-17.000,,1.140,33,8,20,,
T,2021-10-10 00:27:32,40.74120060,-73.98914026,18,-18.000,,1.060,58,5,20,,
T,2021-10-10 00:27:33,40.74120834,-73.98912169,19,-17.000,,1.330,41,5,20,,
T,2021-10-10 00:27:34,40.74120535,-73.98908949,17,-19.000,,1.100,38,9,20,,
T,2021-10-10 00:27:35,40.74120665,-73.98908969,18,-21.000,,0.960,32,8,20,,
T,2021-10-10 00:27:36,40.74122241,-73.98909227,18,-19.000,,0.960,16,13,20,,
T,2021-10-10 00:27:37,40.74124793,-73.98908730,18,-18.000,,1.050,12,10,19,,
T,2021-10-10 00:27:38,40.74125320,-73.98907261,19,-18.000,,0.880,18,10,19,,
T,2021-10-10 00:27:39,40.74126395,-73.98906256,19,-18.000,,1.090,17,13,20,,
T,2021-10-10 00:27:40,40.74128785,-73.98905594,19,-17.000,,1.470,13,7,20,,
T,2021-10-10 00:27:41,40.74129894,-73.98905033,19,-16.000,,1.610,9,6,20,,
T,2021-10-10 00:27:42,40.74130357,-73.98902615,19,-15.000,,1.100,20,12,20,,
T,2021-10-10 00:27:43,40.74132237,-73.98902693,21,-14.000,,1.410,14,6,20,,
T,2021-10-10 00:27:44,40.74133860,-73.98902533,20,-15.000,,1.460,0,12,20,,
T,2021-10-10 00:27:45,40.74136543,-73.98904440,20,-13.000,,1.350,358,6,20,,
T,2021-10-10 00:27:46,40.74136125,-73.98903182,20,-13.000,,1.110,5,8,20,,
T,2021-10-10 00:27:47,40.74147287,-73.98911881,21,-3.000,,1.270,337,9,20,,
T,2021-10-10 00:27:48,40.74148581,-73.98910963,21,-4.000,,1.610,354,9,20,,
T,2021-10-10 00:27:49,40.74150614,-73.98910039,22,-3.000,,1.460,356,11,20,,
T,2021-10-10 00:27:50,40.74151016,-73.98906800,23,-3.000,,1.640,12,13,20,,
T,2021-10-10 00:27:51,40.74155977,-73.98910696,24,0.000,,1.890,356,5,20,,
T,2021-10-10 00:27:52,40.74158156,-73.98907735,23,2.000,,1.740,14,5,20,,
T,2021-10-10 00:27:53,40.74161072,-73.98907307,23,2.000,,1.980,5,7,20,,
T,2021-10-10 00:27:54,40.74161671,-73.98905672,23,1.000,,1.900,10,5,20,,
T,2021-10-10 00:27:55,40.74159559,-73.98904828,24,-1.000,,1.270,4,6,20,,
T,2021-10-10 00:27:56,40.74150862,-73.98908236,20,-7.000,,0.000,,9,21,,
T,2021-10-10 00:27:57,40.74149198,-73.98905914,21,-7.000,,0.270,112,13,21,,
T,2021-10-10 00:27:58,40.74149464,-73.98904998,23,-8.000,,0.230,96,6,21,,
T,2021-10-10 00:27:59,40.74151952,-73.98905429,22,-7.000,,0.910,11,7,21,,
T,2021-10-10 00:28:00,40.74150525,-73.98901816,22,-7.000,,0.780,33,7,21,,
T,2021-10-10 00:28:01,40.74153500,-73.98911323,20,-7.000,,1.160,316,13,21,,
T,2021-10-10 00:28:02,40.74155668,-73.98914193,19,-5.000,,1.240,302,7,21,,
T,2021-10-10 00:28:03,40.74153977,-73.98929749,17,-8.000,,2.450,278,10,21,,
T,2021-10-10 00:28:04,40.74152189,-73.98927063,17,-9.000,,0.860,278,6,21,,
T,2021-10-10 00:28:05,40.74153066,-73.98927333,19,-9.000,,0.760,292,6,21,,
T,2021-10-10 00:28:06,40.74154221,-73.98926563,23,-9.000,,0.650,317,9,21,,
T,2021-10-10 00:28:07,40.74155513,-73.98928851,27,-11.000,,1.020,314,9,21,,
T,2021-10-10 00:28:08,40.74159218,-73.98927404,29,-9.000,,1.240,344,9,21,,
T,2021-10-10 00:28:09,40.74167536,-73.98934168,34,-6.000,,2.600,328,9,21,,
T,2021-10-10 00:28:10,40.74159064,-73.98934241,26,-7.000,,0.320,333,11,21,,
T,2021-10-10 00:28:11,40.74157201,-73.98935638,27,-8.000,,0.220,303,10,21,,
T,2021-10-10 00:28:12,40.74157788,-73.98938861,29,-8.000,,0.500,296,10,21,,
T,2021-10-10 00:28:13,40.74157754,-73.98939443,32,-8.000,,0.420,313,10,21,,
T,2021-10-10 00:28:14,40.74157991,-73.98937635,26,-7.000,,0.290,18,10,21,,
T,2021-10-10 00:28:15,40.74157592,-73.98937891,25,-7.000,,0.150,350,12,21,,
T,2021-10-10 00:28:16,40.74161564,-73.98938303,21,-6.000,,0.000,,9,21,,
T,2021-10-10 00:28:17,40.74160854,-73.98936538,19,-6.000,,0.000,,9,21,,
T,2021-10-10 00:28:18,40.74156863,-73.98938639,17,-9.000,,0.000,,10,21,,
T,2021-10-10 00:28:19,40.74155327,-73.98938703,15,-10.000,,0.000,,11,21,,
T,2021-10-10 00:28:20,40.74154933,-73.98939073,14,-11.000,,0.000,,12,21,,
T,2021-10-10 00:28:21,40.74153678,-73.98939663,14,-11.000,,0.000,,12,21,,
T,2021-10-10 00:28:22,40.74150684,-73.98939213,14,-12.000,,0.000,,12,21,,
T,2021-10-10 00:28:23,40.74150272,-73.98939052,14,-11.000,,0.000,,13,21,,
T,2021-10-10 00:28:24,40.74149482,-73.98939001,14,-11.000,,0.000,,13,21,,
T,2021-10-10 00:28:25,40.74148826,-73.98938901,14,-10.000,,0.000,,13,21,,
T,2021-10-10 00:28:26,40.74145326,-73.98938750,14,-9.000,,0.280,243,13,21,,
T,2021-10-10 00:28:27,40.74143882,-73.98937304,15,-8.000,,0.410,107,10,21,,
T,2021-10-10 00:28:28,40.74142497,-73.98935455,16,-8.000,,0.720,77,12,21,,
T,2021-10-10 00:28:29,40.74140915,-73.98932845,16,-7.000,,0.790,82,10,21,,
T,2021-10-10 00:28:30,40.74140917,-73.98932574,17,-7.000,,0.730,51,10,21,,
T,2021-10-10 00:28:31,40.74141645,-73.98930830,18,-5.000,,1.490,68,14,21,,
T,2021-10-10 00:28:32,40.74141164,-73.98929403,20,-4.000,,1.160,78,10,21,,
T,2021-10-10 00:28:33,40.74141859,-73.98929687,20,-4.000,,0.990,72,10,21,,
T,2021-10-10 00:28:34,40.74143650,-73.98930950,20,-4.000,,0.730,29,10,21,,
T,2021-10-10 00:28:35,40.74141148,-73.98927176,18,-6.000,,0.570,80,12,21,,
T,2021-10-10 00:28:36,40.74136902,-73.98923141,18,-9.000,,0.640,117,12,21,,
T,2021-10-10 00:28:37,40.74139225,-73.98924405,16,-9.000,,0.000,,14,21,,
T,2021-10-10 00:28:38,40.74139005,-73.98923209,15,-9.000,,0.000,,13,22,,
T,2021-10-10 00:28:39,40.74139252,-73.98923640,15,-8.000,,0.000,,13,22,,
T,2021-10-10 00:28:40,40.74141454,-73.98926048,15,-8.000,,0.000,,13,22,,
T,2021-10-10 00:28:41,40.74144157,-73.98928911,15,-8.000,,0.000,,13,22,,
T,2021-10-10 00:28:42,40.74145008,-73.98929397,15,-7.000,,0.000,,10,22,,
T,2021-10-10 00:28:43,40.74145205,-73.98929116,16,-7.000,,0.350,14,12,22,,
T,2021-10-10 00:28:44,40.74145253,-73.98927559,16,-7.000,,0.170,1,13,22,,
T,2021-10-10 00:28:45,40.74145411,-73.98926721,15,-7.000,,0.200,10,12,22,,
T,2021-10-10 00:28:46,40.74143909,-73.98925000,14,-8.000,,0.220,343,11,22,,
T,2021-10-10 00:28:47,40.74145680,-73.98925847,15,-7.000,,0.550,21,11,22,,
