type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-09 23:32:50,40.73293914,-73.99139433,29,105.000,,0.000,,5,17,20211009-193250,GPS Logger: 20211009-193250 - Union squares
T,2021-10-09 23:32:51,40.73295923,-73.99141422,29,104.000,,0.000,,5,17,,
T,2021-10-09 23:32:52,40.73295698,-73.99141786,33,104.000,,0.000,,4,17,,
T,2021-10-09 23:32:53,40.73296997,-73.99143432,35,105.000,,0.000,,4,17,,
T,2021-10-09 23:32:54,40.73296903,-73.99143821,38,106.000,,0.000,,4,17,,
T,2021-10-09 23:32:55,40.73296761,-73.99143618,36,106.000,,0.000,,4,17,,
T,2021-10-09 23:32:56,40.73296453,-73.99143293,41,106.000,,0.000,,4,17,,
T,2021-10-09 23:32:57,40.73296209,-73.99143007,49,106.000,,0.000,,3,17,,
T,2021-10-09 23:32:58,40.73295816,-73.99141479,52,105.000,,0.000,,3,17,,
T,2021-10-09 23:32:59,40.73295792,-73.99141450,56,105.000,,0.000,,3,17,,
T,2021-10-09 23:33:00,40.73295792,-73.99141420,59,105.000,,0.000,,4,17,,
T,2021-10-09 23:33:01,40.73295796,-73.99141423,67,105.000,,0.000,,3,17,,
T,2021-10-09 23:33:02,40.73287689,-73.99140229,65,95.000,,0.000,,4,17,,
T,2021-10-09 23:33:03,40.73290838,-73.99142076,59,99.000,,0.000,,3,17,,
T,2021-10-09 23:33:04,40.73287488,-73.99141141,53,95.000,,0.000,,5,17,,
T,2021-10-09 23:33:05,40.73287500,-73.99141075,50,95.000,,0.000,,5,17,,
T,2021-10-09 23:33:06,40.73288279,-73.99141224,45,96.000,,0.000,,5,17,,
T,2021-10-09 23:33:07,40.73288269,-73.99141132,44,95.000,,0.000,,4,17,,
T,2021-10-09 23:33:08,40.73288134,-73.99140966,45,95.000,,0.000,,6,17,,
T,2021-10-09 23:33:09,40.73287934,-73.99141004,42,95.000,,0.000,,5,17,,
T,2021-10-09 23:33:10,40.73286318,-73.99138822,39,93.000,,0.000,,5,17,,
T,2021-10-09 23:33:11,40.73284224,-73.99136473,34,90.000,,0.000,,5,17,,
T,2021-10-09 23:33:12,40.73284214,-73.99136454,33,90.000,,0.000,,5,17,,
T,2021-10-09 23:33:13,40.73282464,-73.99134483,32,88.000,,0.000,,5,17,,
T,2021-10-09 23:33:14,40.73282520,-73.99134512,31,88.000,,0.000,,5,17,,
T,2021-10-09 23:33:15,40.73281579,-73.99133446,28,87.000,,0.000,,4,17,,
T,2021-10-09 23:33:16,40.73281596,-73.99133455,26,87.000,,0.000,,4,17,,
T,2021-10-09 23:33:17,40.73281601,-73.99133493,26,87.000,,0.000,,6,17,,
T,2021-10-09 23:33:18,40.73281644,-73.99133496,26,87.000,,0.000,,5,17,,
T,2021-10-09 23:33:19,40.73281651,-73.99133527,26,87.000,,0.000,,5,17,,
T,2021-10-09 23:33:20,40.73281701,-73.99133585,26,87.000,,0.000,,4,17,,
T,2021-10-09 23:33:21,40.73281735,-73.99133584,23,87.000,,0.000,,6,17,,
T,2021-10-09 23:33:22,40.73281781,-73.99133584,24,87.000,,0.000,,5,17,,
T,2021-10-09 23:33:23,40.73281874,-73.99133642,23,87.000,,0.000,,5,17,,
T,2021-10-09 23:33:24,40.73281942,-73.99133677,20,87.000,,0.000,,4,17,,
T,2021-10-09 23:33:32,40.73282254,-73.99133724,21,87.000,,0.000,,6,18,,
T,2021-10-09 23:33:33,40.73282333,-73.99133825,22,87.000,,0.000,,6,18,,
T,2021-10-09 23:33:34,40.73282315,-73.99133806,22,87.000,,0.000,,5,18,,
T,2021-10-09 23:33:35,40.73282316,-73.99133798,20,87.000,,0.000,,5,18,,
T,2021-10-09 23:33:36,40.73282267,-73.99133758,21,87.000,,0.000,,5,18,,
T,2021-10-09 23:33:37,40.73282213,-73.99133780,22,87.000,,0.000,,5,18,,
T,2021-10-09 23:33:38,40.73282087,-73.99133717,22,87.000,,0.000,,6,18,,
T,2021-10-09 23:33:39,40.73282009,-73.99133573,22,87.000,,0.000,,6,18,,
T,2021-10-09 23:33:40,40.73282046,-73.99133625,23,87.000,,0.000,,7,18,,
T,2021-10-09 23:33:41,40.73282019,-73.99133589,24,87.000,,0.000,,6,18,,
T,2021-10-09 23:33:42,40.73281996,-73.99133594,25,87.000,,0.000,,6,18,,
T,2021-10-09 23:33:43,40.73281880,-73.99133470,24,86.000,,0.000,,5,18,,
T,2021-10-09 23:33:44,40.73281855,-73.99133469,23,86.000,,0.000,,5,18,,
T,2021-10-09 23:33:45,40.73281827,-73.99133426,23,86.000,,0.000,,5,18,,
T,2021-10-09 23:33:46,40.73281790,-73.99133369,22,86.000,,0.000,,5,18,,
T,2021-10-09 23:33:47,40.73281761,-73.99133324,22,86.000,,0.000,,5,18,,
T,2021-10-09 23:33:48,40.73281718,-73.99133294,22,86.000,,0.000,,4,18,,
T,2021-10-09 23:33:49,40.73281691,-73.99133248,21,86.000,,0.000,,5,18,,
T,2021-10-09 23:33:50,40.73281640,-73.99133198,20,86.000,,0.000,,4,18,,
T,2021-10-09 23:33:51,40.73281542,-73.99133160,20,85.000,,0.000,,5,18,,
T,2021-10-09 23:33:52,40.73281503,-73.99133124,19,85.000,,0.000,,5,18,,
T,2021-10-09 23:33:53,40.73281505,-73.99133100,18,85.000,,0.000,,5,18,,
T,2021-10-09 23:33:54,40.73281427,-73.99133022,19,85.000,,0.000,,5,18,,
T,2021-10-09 23:33:55,40.73280516,-73.99131632,15,84.000,,0.000,,4,18,,
T,2021-10-09 23:33:56,40.73279728,-73.99130461,15,82.000,,0.000,,5,18,,
T,2021-10-09 23:33:57,40.73279045,-73.99129336,15,81.000,,0.000,,5,18,,
T,2021-10-09 23:33:58,40.73278393,-73.99128380,18,80.000,,0.000,,6,18,,
T,2021-10-09 23:33:59,40.73277853,-73.99127607,20,79.000,,0.000,,6,17,,
T,2021-10-09 23:34:00,40.73277168,-73.99126659,22,78.000,,0.000,,6,18,,
T,2021-10-09 23:34:01,40.73274024,-73.99123931,20,73.000,,0.000,,6,18,,
T,2021-10-09 23:34:02,40.73271564,-73.99121843,20,70.000,,0.000,,6,18,,
T,2021-10-09 23:34:03,40.73269170,-73.99119940,21,66.000,,0.000,,7,18,,
T,2021-10-09 23:34:04,40.73267312,-73.99118480,22,64.000,,0.000,,6,18,,
T,2021-10-09 23:34:05,40.73266381,-73.99117982,22,62.000,,0.000,,6,18,,
T,2021-10-09 23:34:06,40.73265421,-73.99117379,22,61.000,,0.000,,7,18,,
T,2021-10-09 23:34:07,40.73264165,-73.99116632,23,59.000,,0.000,,7,18,,
T,2021-10-09 23:34:08,40.73263176,-73.99115957,23,58.000,,0.000,,6,18,,
T,2021-10-09 23:34:09,40.73262360,-73.99115508,23,56.000,,0.000,,6,18,,
T,2021-10-09 23:34:10,40.73261410,-73.99115040,22,55.000,,0.000,,8,18,,
T,2021-10-09 23:34:11,40.73260908,-73.99114884,22,54.000,,0.000,,7,18,,
T,2021-10-09 23:34:12,40.73260559,-73.99114932,22,54.000,,0.000,,7,18,,
T,2021-10-09 23:34:13,40.73260360,-73.99114957,21,53.000,,0.000,,7,18,,
T,2021-10-09 23:34:14,40.73260130,-73.99114999,20,53.000,,0.000,,7,18,,
T,2021-10-09 23:34:15,40.73260041,-73.99115060,20,53.000,,0.000,,7,18,,
T,2021-10-09 23:34:16,40.73260098,-73.99115188,18,53.000,,0.000,,9,18,,
T,2021-10-09 23:34:17,40.73260052,-73.99115137,18,53.000,,0.000,,7,18,,
T,2021-10-09 23:34:18,40.73260109,-73.99115367,17,53.000,,0.000,,7,18,,
T,2021-10-09 23:34:19,40.73260030,-73.99115442,17,53.000,,0.000,,9,18,,
T,2021-10-09 23:34:20,40.73260079,-73.99115411,18,53.000,,0.000,,8,18,,
T,2021-10-09 23:34:21,40.73260104,-73.99115368,21,53.000,,0.000,,8,18,,
T,2021-10-09 23:34:22,40.73260113,-73.99115426,23,53.000,,0.000,,6,18,,
T,2021-10-09 23:34:23,40.73260133,-73.99115344,25,53.000,,0.000,,8,18,,
T,2021-10-09 23:34:24,40.73260205,-73.99115431,25,53.000,,0.000,,8,18,,
T,2021-10-09 23:34:25,40.73260272,-73.99115474,26,53.000,,0.000,,7,18,,
T,2021-10-09 23:34:26,40.73260303,-73.99115472,25,53.000,,0.000,,6,18,,
T,2021-10-09 23:34:27,40.73260337,-73.99115524,24,53.000,,0.000,,7,18,,
T,2021-10-09 23:34:28,40.73258566,-73.99130689,27,54.000,,1.310,301,6,18,,
T,2021-10-09 23:34:29,40.73254893,-73.99131394,24,55.000,,0.000,,6,18,,
T,2021-10-09 23:34:30,40.73252982,-73.99134749,22,57.000,,0.000,,7,18,,
T,2021-10-09 23:34:31,40.73255838,-73.99130631,22,58.000,,0.000,,6,18,,
T,2021-10-09 23:34:32,40.73256910,-73.99129432,22,58.000,,0.000,,6,18,,
T,2021-10-09 23:34:33,40.73256133,-73.99131881,20,57.000,,0.000,,7,18,,
T,2021-10-09 23:34:34,40.73255816,-73.99133129,19,56.000,,0.000,,7,18,,
T,2021-10-09 23:34:35,40.73255429,-73.99134075,18,56.000,,0.000,,6,18,,
