,uuid,Company_Names,census_id,count,uuid_comp
74,8a21c76b-74e3-4341-92be-33fcfdefdd63,,773,21,8a21c76b-74e3-4341-92be-33fcfdefdd63
75,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,51,21,Glimworm
76,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,131,21,Glimworm
77,2686f39c-bada-4658-854a-a62e7e5e8b8d,,133,21,2686f39c-bada-4658-854a-a62e7e5e8b8d
78,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,109,21,SXSW
79,2686f39c-bada-4658-854a-a62e7e5e8b8d,,141,21,2686f39c-bada-4658-854a-a62e7e5e8b8d
80,50765cb7-d9ea-4e21-99a4-fa879613a492,,132,21,50765cb7-d9ea-4e21-99a4-fa879613a492
81,8a21c76b-74e3-4341-92be-33fcfdefdd63,,120,20,8a21c76b-74e3-4341-92be-33fcfdefdd63
82,2686f39c-bada-4658-854a-a62e7e5e8b8d,,19,20,2686f39c-bada-4658-854a-a62e7e5e8b8d
83,2686f39c-bada-4658-854a-a62e7e5e8b8d,,61,20,2686f39c-bada-4658-854a-a62e7e5e8b8d
84,5993a94c-7d97-4df7-9abf-e493bfd5d000,,758,20,5993a94c-7d97-4df7-9abf-e493bfd5d000
85,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,748,20,Glimworm
86,50765cb7-d9ea-4e21-99a4-fa879613a492,,847,20,50765cb7-d9ea-4e21-99a4-fa879613a492
87,1d19a9f7-66c0-4428-9e61-f2a58b45c6f5,,109,20,1d19a9f7-66c0-4428-9e61-f2a58b45c6f5
88,00009999-0000-1000-8000-00177a000002,,108,19,00009999-0000-1000-8000-00177a000002
89,2686f39c-bada-4658-854a-a62e7e5e8b8d,,749,19,2686f39c-bada-4658-854a-a62e7e5e8b8d
90,1f8e8fed-e2b7-49c8-8c17-51871e707cda,,147,19,1f8e8fed-e2b7-49c8-8c17-51871e707cda
91,00009999-0000-1000-8000-00177a000002,,752,18,00009999-0000-1000-8000-00177a000002
92,8a21c76b-74e3-4341-92be-33fcfdefdd63,,122,18,8a21c76b-74e3-4341-92be-33fcfdefdd63
93,8a21c76b-74e3-4341-92be-33fcfdefdd63,,131,18,8a21c76b-74e3-4341-92be-33fcfdefdd63
94,8a21c76b-74e3-4341-92be-33fcfdefdd63,,109,18,8a21c76b-74e3-4341-92be-33fcfdefdd63
95,8a21c76b-74e3-4341-92be-33fcfdefdd63,,141,18,8a21c76b-74e3-4341-92be-33fcfdefdd63
96,2a955cfd-667b-4ac8-9141-73b9c168da7e,,75,18,2a955cfd-667b-4ac8-9141-73b9c168da7e
97,2f24dda5-6745-4d39-99cf-d6cbea086401,,133,18,2f24dda5-6745-4d39-99cf-d6cbea086401
98,50765cb7-d9ea-4e21-99a4-fa879613a492,,130,18,50765cb7-d9ea-4e21-99a4-fa879613a492
99,50765cb7-d9ea-4e21-99a4-fa879613a492,,773,17,50765cb7-d9ea-4e21-99a4-fa879613a492
100,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,773,17,SXSW
101,2686f39c-bada-4658-854a-a62e7e5e8b8d,,55,17,2686f39c-bada-4658-854a-a62e7e5e8b8d
102,8a21c76b-74e3-4341-92be-33fcfdefdd63,,61,17,8a21c76b-74e3-4341-92be-33fcfdefdd63
103,50765cb7-d9ea-4e21-99a4-fa879613a492,,133,17,50765cb7-d9ea-4e21-99a4-fa879613a492
104,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,141,17,Glimworm
